Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0628,-1.3004,1.8681103055555555,1.8681103055555555
1.0,4.0474,-1.3006,1.8677490833333332,1.8681103055555555
2.0,4.0438,-1.3007,1.8673878055555555,1.8681103055555555
3.0,4.0408,-1.3006,1.8670265,1.8681103055555555
4.0,4.0389,-1.3008,1.8666652222222222,1.8681103055555555
5.0,4.0373,-1.3004,1.8663038888888888,1.8681103055555555
6.0,4.0358,-1.3003,1.8659426666666665,1.8681103055555555
7.0,4.0341,-1.3004,1.8655814722222221,1.8681103055555555
8.0,4.0327,-1.3005,1.86522025,1.8681103055555555
9.0,4.0314,-1.3004,1.8648589999999998,1.8681103055555555
10.0,4.0304,-1.3008,1.8644977777777776,1.8681103055555555
11.0,4.0291,-1.3005,1.8641364444444444,1.8681103055555555
12.0,4.0278,-1.3004,1.8637751944444443,1.8681103055555555
13.0,4.0268,-1.3004,1.863413972222222,1.8681103055555555
14.0,4.0258,-1.3006,1.8630527499999998,1.8681103055555555
15.0,4.0247,-1.3008,1.862691472222222,1.8681103055555555
16.0,4.0236,-1.3006,1.8623301388888889,1.8681103055555555
17.0,4.0227,-1.3005,1.861968861111111,1.8681103055555555
18.0,4.0217,-1.3006,1.861607611111111,1.8681103055555555
19.0,4.021,-1.3005,1.8612463333333333,1.8681103055555555
20.0,4.0199,-1.3008,1.8608850833333332,1.8681103055555555
21.0,4.0195,-1.3006,1.8605237499999998,1.8681103055555555
22.0,4.0186,-1.3005,1.860162472222222,1.8681103055555555
23.0,4.0175,-1.3004,1.8598012222222222,1.8681103055555555
24.0,4.0167,-1.3006,1.85944,1.8681103055555555
25.0,4.0161,-1.3004,1.859078722222222,1.8681103055555555
26.0,4.0151,-1.3005,1.8587174999999998,1.8681103055555555
27.0,4.0143,-1.3004,1.85835625,1.8681103055555555
28.0,4.0136,-1.3006,1.8579950277777777,1.8681103055555555
29.0,4.0129,-1.3006,1.85763375,1.8681103055555555
30.0,4.0122,-1.3004,1.857272472222222,1.8681103055555555
31.0,4.0115,-1.3005,1.85691125,1.8681103055555555
32.0,4.0107,-1.3005,1.85655,1.8681103055555555
33.0,4.0102,-1.3006,1.8561887499999998,1.8681103055555555
34.0,4.0092,-1.3004,1.855827472222222,1.8681103055555555
35.0,4.0087,-1.3004,1.8554662499999999,1.8681103055555555
36.0,4.008,-1.3006,1.8551050277777776,1.8681103055555555
37.0,4.0073,-1.3005,1.85474375,1.8681103055555555
38.0,4.0068,-1.3003,1.8543824999999998,1.8681103055555555
39.0,4.0057,-1.3007,1.8540213055555554,1.8681103055555555
40.0,4.0053,-1.3007,1.8536599999999999,1.8681103055555555
41.0,4.0047,-1.3004,1.8532986944444443,1.8681103055555555
42.0,4.004,-1.3007,1.852937472222222,1.8681103055555555
43.0,4.0035,-1.3007,1.8525761666666665,1.8681103055555555
44.0,4.0029,-1.3005,1.852214861111111,1.8681103055555555
45.0,4.0022,-1.3005,1.851853611111111,1.8681103055555555
46.0,4.0015,-1.3006,1.851492361111111,1.8681103055555555
47.0,4.0013,-1.3005,1.8511310833333332,1.8681103055555555
48.0,4.0006,-1.3005,1.8507698333333333,1.8681103055555555
49.0,4.0002,-1.3007,1.8504085833333332,1.8681103055555555
50.0,3.9995,-1.3007,1.8500472777777777,1.8681103055555555
51.0,3.9989,-1.3004,1.849685972222222,1.8681103055555555
52.0,3.9981,-1.3005,1.8493247499999999,1.8681103055555555
53.0,3.998,-1.3005,1.8489635,1.8681103055555555
54.0,3.9971,-1.3006,1.84860225,1.8681103055555555
55.0,3.9966,-1.3005,1.8482409722222222,1.8681103055555555
56.0,3.996,-1.3005,1.847879722222222,1.8681103055555555
57.0,3.9956,-1.3003,1.8475184722222222,1.8681103055555555
58.0,3.9952,-1.3005,1.8471572777777776,1.8681103055555555
59.0,3.9949,-1.3004,1.8467960277777777,1.8681103055555555
60.0,3.9939,-1.3006,1.8464348055555555,1.8681103055555555
61.0,3.9935,-1.3004,1.8460735277777778,1.8681103055555555
62.0,3.9929,-1.3003,1.8457123055555555,1.8681103055555555
63.0,3.9923,-1.3007,1.845351111111111,1.8681103055555555
64.0,3.9918,-1.3005,1.8449898055555554,1.8681103055555555
65.0,3.9912,-1.3005,1.8446285555555555,1.8681103055555555
66.0,3.991,-1.3007,1.8442673055555554,1.8681103055555555
67.0,3.9905,-1.3005,1.8439059999999998,1.8681103055555555
68.0,3.99,-1.3006,1.84354475,1.8681103055555555
69.0,3.9894,-1.3005,1.8431834722222222,1.8681103055555555
70.0,3.989,-1.3004,1.8428222222222221,1.8681103055555555
71.0,3.9887,-1.3003,1.842461,1.8681103055555555
72.0,3.9881,-1.3003,1.8420998055555555,1.8681103055555555
73.0,3.9876,-1.3006,1.841738611111111,1.8681103055555555
74.0,3.9868,-1.3003,1.8413773333333332,1.8681103055555555
75.0,3.9869,-1.3006,1.8410161388888888,1.8681103055555555
76.0,3.9861,-1.3005,1.840654861111111,1.8681103055555555
77.0,3.9857,-1.3006,1.840293611111111,1.8681103055555555
78.0,3.9854,-1.3008,1.8399323333333333,1.8681103055555555
79.0,3.9852,-1.3005,1.8395709999999998,1.8681103055555555
80.0,3.9846,-1.3004,1.83920975,1.8681103055555555
81.0,3.9838,-1.3006,1.8388485277777777,1.8681103055555555
82.0,3.9837,-1.3004,1.83848725,1.8681103055555555
83.0,3.9827,-1.3004,1.8381260277777778,1.8681103055555555
84.0,3.9825,-1.3006,1.8377648055555555,1.8681103055555555
85.0,3.9822,-1.3003,1.8374035277777776,1.8681103055555555
86.0,3.9815,-1.3006,1.8370423333333332,1.8681103055555555
87.0,3.9815,-1.3003,1.8366810555555555,1.8681103055555555
88.0,3.981,-1.3003,1.8363198611111111,1.8681103055555555
89.0,3.9803,-1.3005,1.8359586666666665,1.8681103055555555
90.0,3.98,-1.3006,1.8355974166666666,1.8681103055555555
91.0,3.98,-1.3005,1.8352361388888887,1.8681103055555555
92.0,3.9793,-1.3004,1.8348748888888888,1.8681103055555555
93.0,3.9788,-1.3004,1.8345136666666666,1.8681103055555555
94.0,3.9784,-1.3003,1.8341524444444444,1.8681103055555555
95.0,3.978,-1.3005,1.83379125,1.8681103055555555
96.0,3.9776,-1.3005,1.83343,1.8681103055555555
97.0,3.9772,-1.3005,1.8330687499999998,1.8681103055555555
98.0,3.9765,-1.3005,1.8327075,1.8681103055555555
99.0,3.9761,-1.3004,1.8323462499999998,1.8681103055555555
100.0,3.9761,-1.3004,1.8319850277777776,1.8681103055555555
101.0,3.9756,-1.3005,1.8316238055555554,1.8681103055555555
102.0,3.9751,-1.3006,1.8312625555555555,1.8681103055555555
103.0,3.975,-1.3004,1.8309012777777778,1.8681103055555555
104.0,3.9744,-1.3004,1.8305400555555555,1.8681103055555555
105.0,3.9743,-1.3002,1.8301788333333333,1.8681103055555555
106.0,3.9737,-1.3004,1.8298176666666666,1.8681103055555555
107.0,3.9733,-1.3004,1.8294564444444443,1.8681103055555555
108.0,3.9727,-1.3007,1.829095222222222,1.8681103055555555
109.0,3.9726,-1.3004,1.8287339166666665,1.8681103055555555
110.0,3.9722,-1.3003,1.8283726944444443,1.8681103055555555
111.0,3.9719,-1.3006,1.8280115,1.8681103055555555
112.0,3.9714,-1.3005,1.8276502222222222,1.8681103055555555
113.0,3.971,-1.3006,1.827288972222222,1.8681103055555555
114.0,3.9709,-1.3005,1.8269276944444444,1.8681103055555555
115.0,3.9707,-1.3005,1.8265664444444443,1.8681103055555555
116.0,3.97,-1.3002,1.8262051944444444,1.8681103055555555
117.0,3.9695,-1.3005,1.8258440277777777,1.8681103055555555
118.0,3.9692,-1.3004,1.8254827777777778,1.8681103055555555
119.0,3.9692,-1.3004,1.8251215555555556,1.8681103055555555
120.0,3.9684,-1.3004,1.8247603333333333,1.8681103055555555
121.0,3.968,-1.3004,1.824399111111111,1.8681103055555555
122.0,3.9678,-1.3004,1.8240378888888888,1.8681103055555555
123.0,3.9678,-1.3007,1.8236766666666666,1.8681103055555555
124.0,3.9671,-1.3005,1.823315361111111,1.8681103055555555
125.0,3.967,-1.3005,1.822954111111111,1.8681103055555555
126.0,3.9666,-1.3003,1.822592861111111,1.8681103055555555
127.0,3.9663,-1.3002,1.8222316666666667,1.8681103055555555
128.0,3.9656,-1.3004,1.8218705,1.8681103055555555
129.0,3.9656,-1.3001,1.8215092777777777,1.8681103055555555
130.0,3.965,-1.3005,1.8211481388888888,1.8681103055555555
131.0,3.9647,-1.3003,1.8207868888888887,1.8681103055555555
132.0,3.9644,-1.3004,1.8204256944444444,1.8681103055555555
133.0,3.9644,-1.3004,1.8200644722222221,1.8681103055555555
134.0,3.9637,-1.3004,1.8197032499999999,1.8681103055555555
135.0,3.9634,-1.3006,1.8193420277777776,1.8681103055555555
136.0,3.9631,-1.3004,1.81898075,1.8681103055555555
137.0,3.9627,-1.3003,1.8186195277777777,1.8681103055555555
138.0,3.9624,-1.3004,1.8182583333333333,1.8681103055555555
139.0,3.962,-1.3004,1.817897111111111,1.8681103055555555
140.0,3.9619,-1.3004,1.8175358888888888,1.8681103055555555
141.0,3.9616,-1.3003,1.8171746666666666,1.8681103055555555
142.0,3.9614,-1.3003,1.8168134722222222,1.8681103055555555
143.0,3.9607,-1.3004,1.8164522777777776,1.8681103055555555
144.0,3.9607,-1.3004,1.8160910555555554,1.8681103055555555
145.0,3.9602,-1.3004,1.8157298333333332,1.8681103055555555
146.0,3.9599,-1.3004,1.815368611111111,1.8681103055555555
147.0,3.9594,-1.3003,1.815007388888889,1.8681103055555555
148.0,3.9592,-1.3002,1.8146461944444443,1.8681103055555555
149.0,3.9588,-1.3005,1.8142850277777778,1.8681103055555555
150.0,3.9588,-1.3005,1.8139237777777777,1.8681103055555555
151.0,3.9582,-1.3006,1.8135625277777776,1.8681103055555555
152.0,3.958,-1.3005,1.8132012499999999,1.8681103055555555
153.0,3.9577,-1.3008,1.81284,1.8681103055555555
154.0,3.9575,-1.3005,1.8124786666666666,1.8681103055555555
155.0,3.9571,-1.3006,1.8121174166666665,1.8681103055555555
156.0,3.9567,-1.3005,1.8117561388888888,1.8681103055555555
157.0,3.9566,-1.3004,1.8113948888888889,1.8681103055555555
158.0,3.9562,-1.3004,1.8110336666666667,1.8681103055555555
159.0,3.9559,-1.3004,1.8106724444444444,1.8681103055555555
160.0,3.9552,-1.3001,1.8103112222222222,1.8681103055555555
161.0,3.9552,-1.3005,1.8099500833333333,1.8681103055555555
162.0,3.955,-1.3004,1.8095888333333332,1.8681103055555555
163.0,3.9549,-1.3005,1.809227611111111,1.8681103055555555
164.0,3.9543,-1.3003,1.808866361111111,1.8681103055555555
165.0,3.9541,-1.3005,1.8085051666666665,1.8681103055555555
166.0,3.9535,-1.3006,1.8081439166666666,1.8681103055555555
167.0,3.9532,-1.3005,1.807782638888889,1.8681103055555555
168.0,3.9531,-1.3003,1.8074213888888888,1.8681103055555555
169.0,3.9529,-1.3004,1.8070601944444444,1.8681103055555555
170.0,3.9526,-1.3006,1.8066989722222222,1.8681103055555555
171.0,3.9524,-1.3005,1.8063376944444443,1.8681103055555555
