Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.1343,-1.3,1.659237527777778,1.659237527777778
1.0,4.0272,-1.3003,1.658876416666667,1.659237527777778
2.0,4.0226,-1.3003,1.6585152222222224,1.659237527777778
3.0,4.0194,-1.3003,1.658154027777778,1.659237527777778
4.0,4.0166,-1.3003,1.6577928333333336,1.659237527777778
5.0,4.0145,-1.3002,1.657431638888889,1.659237527777778
6.0,4.0125,-1.3003,1.6570704722222225,1.659237527777778
7.0,4.0108,-1.3002,1.656709277777778,1.659237527777778
8.0,4.0088,-1.3003,1.6563481111111114,1.659237527777778
9.0,4.0073,-1.3002,1.655986916666667,1.659237527777778
10.0,4.0058,-1.3004,1.6556257500000002,1.659237527777778
11.0,4.0045,-1.3003,1.655264527777778,1.659237527777778
12.0,4.003,-1.3003,1.6549033333333336,1.659237527777778
13.0,4.0018,-1.3004,1.654542138888889,1.659237527777778
14.0,4.0006,-1.3002,1.6541809166666668,1.659237527777778
15.0,3.9993,-1.3003,1.6538197500000003,1.659237527777778
16.0,3.9982,-1.3003,1.6534585555555559,1.659237527777778
17.0,3.997,-1.3003,1.6530973611111113,1.659237527777778
18.0,3.9959,-1.3003,1.652736166666667,1.659237527777778
19.0,3.9947,-1.3003,1.6523749722222225,1.659237527777778
20.0,3.9938,-1.3003,1.652013777777778,1.659237527777778
21.0,3.993,-1.3002,1.6516525833333335,1.659237527777778
22.0,3.9918,-1.3001,1.6512914166666668,1.659237527777778
23.0,3.991,-1.3003,1.650930277777778,1.659237527777778
24.0,3.9901,-1.3003,1.6505690833333335,1.659237527777778
25.0,3.9891,-1.3003,1.6502078888888891,1.659237527777778
26.0,3.9883,-1.3002,1.6498466944444448,1.659237527777778
27.0,3.9875,-1.3003,1.649485527777778,1.659237527777778
28.0,3.9864,-1.3003,1.6491243333333336,1.659237527777778
29.0,3.9855,-1.3002,1.648763138888889,1.659237527777778
30.0,3.9846,-1.3003,1.6484019722222225,1.659237527777778
31.0,3.984,-1.3002,1.648040777777778,1.659237527777778
32.0,3.983,-1.3002,1.6476796111111114,1.659237527777778
33.0,3.9822,-1.3004,1.6473184444444446,1.659237527777778
34.0,3.9815,-1.3002,1.6469572222222224,1.659237527777778
35.0,3.9807,-1.3002,1.6465960555555559,1.659237527777778
36.0,3.9801,-1.3003,1.6462348888888891,1.659237527777778
37.0,3.9792,-1.3003,1.6458736944444448,1.659237527777778
38.0,3.9784,-1.3002,1.6455125000000002,1.659237527777778
39.0,3.9777,-1.3002,1.6451513333333336,1.659237527777778
40.0,3.977,-1.3003,1.6447901666666669,1.659237527777778
41.0,3.9761,-1.3003,1.6444289722222225,1.659237527777778
42.0,3.9756,-1.3001,1.644067777777778,1.659237527777778
43.0,3.9746,-1.3002,1.643706638888889,1.659237527777778
44.0,3.9741,-1.3002,1.6433454722222225,1.659237527777778
45.0,3.9735,-1.3002,1.6429843055555557,1.659237527777778
46.0,3.9729,-1.3003,1.6426231388888892,1.659237527777778
47.0,3.972,-1.3004,1.6422619444444446,1.659237527777778
48.0,3.9715,-1.3003,1.6419007222222224,1.659237527777778
49.0,3.9708,-1.3002,1.641539527777778,1.659237527777778
50.0,3.9703,-1.3002,1.6411783611111113,1.659237527777778
51.0,3.9693,-1.3002,1.6408171944444447,1.659237527777778
52.0,3.9688,-1.3002,1.640456027777778,1.659237527777778
53.0,3.9681,-1.3004,1.6400948611111112,1.659237527777778
54.0,3.9676,-1.3002,1.639733638888889,1.659237527777778
55.0,3.9667,-1.3002,1.6393724722222225,1.659237527777778
56.0,3.9661,-1.3002,1.6390113055555557,1.659237527777778
