Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0916,-1.3,1.9220255555555559,1.9220255555555559
1.0,4.0587,-1.2996,1.9216644444444448,1.9220255555555559
2.0,4.0553,-1.2996,1.9213034444444448,1.9220255555555559
3.0,4.0528,-1.2996,1.9209424444444447,1.9220255555555559
4.0,4.0505,-1.2996,1.9205814444444447,1.9220255555555559
5.0,4.0488,-1.2996,1.9202204444444448,1.9220255555555559
6.0,4.047,-1.2996,1.9198594444444448,1.9220255555555559
7.0,4.0454,-1.2997,1.9194984444444447,1.9220255555555559
8.0,4.0441,-1.2996,1.919137416666667,1.9220255555555559
9.0,4.0427,-1.2996,1.918776416666667,1.9220255555555559
10.0,4.0416,-1.2997,1.918415416666667,1.9220255555555559
11.0,4.0404,-1.2996,1.9180543888888892,1.9220255555555559
12.0,4.0393,-1.2997,1.9176933888888892,1.9220255555555559
13.0,4.0382,-1.2997,1.9173323611111115,1.9220255555555559
14.0,4.0371,-1.2996,1.9169713333333336,1.9220255555555559
15.0,4.0361,-1.2996,1.9166103333333337,1.9220255555555559
16.0,4.0353,-1.2998,1.9162493333333337,1.9220255555555559
17.0,4.0341,-1.2996,1.9158882777777781,1.9220255555555559
18.0,4.0335,-1.2996,1.915527277777778,1.9220255555555559
19.0,4.0324,-1.2997,1.915166277777778,1.9220255555555559
20.0,4.0317,-1.2996,1.9148052500000003,1.9220255555555559
21.0,4.0308,-1.2997,1.9144442500000003,1.9220255555555559
22.0,4.03,-1.2996,1.9140832222222226,1.9220255555555559
23.0,4.0292,-1.2994,1.9137222222222225,1.9220255555555559
24.0,4.0281,-1.2997,1.9133612777777782,1.9220255555555559
25.0,4.0277,-1.2997,1.9130002500000003,1.9220255555555559
26.0,4.0268,-1.2997,1.9126392222222226,1.9220255555555559
27.0,4.0261,-1.2997,1.9122781944444447,1.9220255555555559
28.0,4.0253,-1.2996,1.911917166666667,1.9220255555555559
29.0,4.0245,-1.2998,1.911556166666667,1.9220255555555559
30.0,4.024,-1.2997,1.9111951111111114,1.9220255555555559
31.0,4.0234,-1.2996,1.9108340833333337,1.9220255555555559
32.0,4.023,-1.2996,1.9104730833333337,1.9220255555555559
33.0,4.0219,-1.2997,1.9101120833333336,1.9220255555555559
34.0,4.0212,-1.2997,1.909751055555556,1.9220255555555559
35.0,4.0205,-1.2997,1.909390027777778,1.9220255555555559
36.0,4.02,-1.2996,1.9090290000000003,1.9220255555555559
37.0,4.0194,-1.2996,1.9086680000000003,1.9220255555555559
38.0,4.0185,-1.2996,1.9083070000000004,1.9220255555555559
39.0,4.0181,-1.2996,1.9079460000000004,1.9220255555555559
40.0,4.0174,-1.2996,1.9075850000000003,1.9220255555555559
41.0,4.0167,-1.2996,1.9072240000000003,1.9220255555555559
42.0,4.0163,-1.2996,1.9068630000000004,1.9220255555555559
43.0,4.0155,-1.2995,1.9065020000000004,1.9220255555555559
44.0,4.0151,-1.2996,1.9061410277777782,1.9220255555555559
45.0,4.0146,-1.2995,1.905780027777778,1.9220255555555559
46.0,4.014,-1.2997,1.905419055555556,1.9220255555555559
47.0,4.0134,-1.2996,1.905058027777778,1.9220255555555559
48.0,4.0129,-1.2996,1.9046970277777782,1.9220255555555559
49.0,4.0124,-1.2997,1.904336027777778,1.9220255555555559
50.0,4.0117,-1.2998,1.9039750000000004,1.9220255555555559
51.0,4.0112,-1.2997,1.9036139444444449,1.9220255555555559
52.0,4.0106,-1.2995,1.903252916666667,1.9220255555555559
53.0,4.0099,-1.2996,1.9028919444444448,1.9220255555555559
54.0,4.0097,-1.2997,1.9025309444444447,1.9220255555555559
55.0,4.0092,-1.2996,1.902169916666667,1.9220255555555559
56.0,4.0085,-1.2998,1.901808916666667,1.9220255555555559
57.0,4.0081,-1.2996,1.9014478611111114,1.9220255555555559
58.0,4.0074,-1.2994,1.9010868611111114,1.9220255555555559
59.0,4.0072,-1.2997,1.900725916666667,1.9220255555555559
60.0,4.0066,-1.2997,1.900364888888889,1.9220255555555559
61.0,4.0059,-1.2998,1.9000038611111114,1.9220255555555559
62.0,4.0056,-1.2997,1.8996428055555559,1.9220255555555559
63.0,4.0051,-1.2998,1.8992817777777782,1.9220255555555559
64.0,4.0045,-1.2998,1.8989207222222226,1.9220255555555559
65.0,4.0044,-1.2995,1.898559666666667,1.9220255555555559
66.0,4.0037,-1.2998,1.8981986944444447,1.9220255555555559
67.0,4.0032,-1.2997,1.8978376388888891,1.9220255555555559
68.0,4.0028,-1.2998,1.8974766111111114,1.9220255555555559
69.0,4.0023,-1.2996,1.8971155555555559,1.9220255555555559
70.0,4.0019,-1.2997,1.8967545555555558,1.9220255555555559
71.0,4.0014,-1.2995,1.8963935277777781,1.9220255555555559
72.0,4.0009,-1.2996,1.896032555555556,1.9220255555555559
73.0,4.0002,-1.2995,1.8956715555555559,1.9220255555555559
74.0,4.0,-1.2996,1.8953105833333337,1.9220255555555559
75.0,3.9996,-1.2996,1.8949495833333336,1.9220255555555559
76.0,3.9991,-1.2997,1.8945885833333336,1.9220255555555559
77.0,3.9987,-1.2997,1.8942275555555559,1.9220255555555559
78.0,3.9981,-1.2995,1.8938665277777782,1.9220255555555559
79.0,3.9979,-1.2997,1.8935055555555558,1.9220255555555559
80.0,3.9975,-1.2996,1.893144527777778,1.9220255555555559
81.0,3.9968,-1.2996,1.892783527777778,1.9220255555555559
82.0,3.9967,-1.2998,1.8924225277777782,1.9220255555555559
83.0,3.9962,-1.2994,1.8920614722222227,1.9220255555555559
84.0,3.996,-1.2996,1.891700527777778,1.9220255555555559
85.0,3.9952,-1.2996,1.891339527777778,1.9220255555555559
86.0,3.9952,-1.2997,1.8909785277777782,1.9220255555555559
87.0,3.9946,-1.2994,1.8906175000000003,1.9220255555555559
88.0,3.994,-1.2995,1.890256555555556,1.9220255555555559
89.0,3.9939,-1.2996,1.8898955833333337,1.9220255555555559
90.0,3.9935,-1.2996,1.8895345833333337,1.9220255555555559
91.0,3.9932,-1.2997,1.8891735833333336,1.9220255555555559
92.0,3.9928,-1.2995,1.888812555555556,1.9220255555555559
93.0,3.9924,-1.2996,1.8884515833333337,1.9220255555555559
94.0,3.9918,-1.2996,1.8880905833333337,1.9220255555555559
95.0,3.9917,-1.2996,1.8877295833333336,1.9220255555555559
96.0,3.9909,-1.2996,1.8873685833333336,1.9220255555555559
97.0,3.9908,-1.2996,1.8870075833333337,1.9220255555555559
98.0,3.9903,-1.2997,1.8866465833333337,1.9220255555555559
99.0,3.99,-1.2996,1.8862855555555558,1.9220255555555559
100.0,3.9898,-1.2996,1.885924555555556,1.9220255555555559
101.0,3.9892,-1.2997,1.8855635555555559,1.9220255555555559
102.0,3.9889,-1.2995,1.8852025277777782,1.9220255555555559
103.0,3.9886,-1.2997,1.8848415555555558,1.9220255555555559
104.0,3.9881,-1.2997,1.884480527777778,1.9220255555555559
105.0,3.9877,-1.2995,1.8841195000000004,1.9220255555555559
106.0,3.9876,-1.2998,1.8837585277777782,1.9220255555555559
107.0,3.987,-1.2998,1.8833974722222226,1.9220255555555559
108.0,3.9866,-1.2996,1.8830364166666669,1.9220255555555559
109.0,3.9864,-1.2996,1.882675416666667,1.9220255555555559
110.0,3.986,-1.2995,1.882314416666667,1.9220255555555559
111.0,3.9857,-1.2996,1.8819534444444448,1.9220255555555559
112.0,3.9856,-1.2997,1.8815924444444447,1.9220255555555559
113.0,3.985,-1.2996,1.881231416666667,1.9220255555555559
114.0,3.9848,-1.2997,1.880870416666667,1.9220255555555559
115.0,3.9843,-1.2997,1.8805093888888893,1.9220255555555559
116.0,3.984,-1.2996,1.8801483611111114,1.9220255555555559
117.0,3.9836,-1.2998,1.8797873611111113,1.9220255555555559
118.0,3.9833,-1.2997,1.8794263055555558,1.9220255555555559
119.0,3.9831,-1.2996,1.879065277777778,1.9220255555555559
120.0,3.9828,-1.2995,1.878704277777778,1.9220255555555559
121.0,3.9822,-1.2996,1.8783433055555558,1.9220255555555559
122.0,3.982,-1.2997,1.8779823055555558,1.9220255555555559
123.0,3.9817,-1.2996,1.877621277777778,1.9220255555555559
124.0,3.9814,-1.2995,1.877260277777778,1.9220255555555559
125.0,3.9811,-1.2996,1.8768993055555558,1.9220255555555559
126.0,3.9805,-1.2995,1.8765383055555558,1.9220255555555559
127.0,3.9806,-1.2998,1.8761773333333336,1.9220255555555559
128.0,3.9802,-1.2997,1.875816277777778,1.9220255555555559
129.0,3.9797,-1.2999,1.8754552500000004,1.9220255555555559
130.0,3.9795,-1.2997,1.875094166666667,1.9220255555555559
131.0,3.9793,-1.2995,1.8747331388888893,1.9220255555555559
132.0,3.9789,-1.2998,1.874372166666667,1.9220255555555559
133.0,3.9786,-1.2996,1.8740111111111115,1.9220255555555559
134.0,3.9782,-1.2997,1.8736501111111115,1.9220255555555559
135.0,3.9778,-1.2997,1.8732890833333335,1.9220255555555559
136.0,3.9777,-1.2997,1.8729280555555559,1.9220255555555559
137.0,3.9774,-1.2996,1.8725670277777782,1.9220255555555559
138.0,3.9774,-1.2994,1.8722060277777781,1.9220255555555559
139.0,3.9768,-1.2994,1.8718450833333335,1.9220255555555559
140.0,3.9765,-1.2997,1.8714841388888892,1.9220255555555559
141.0,3.9762,-1.2998,1.8711231111111115,1.9220255555555559
142.0,3.976,-1.2997,1.870762055555556,1.9220255555555559
