Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0776,-1.3,1.7851215000000002,1.7851215000000002
1.0,4.0457,-1.2998,1.7847603888888892,1.7851215000000002
2.0,4.0414,-1.2998,1.7843993333333337,1.7851215000000002
3.0,4.0387,-1.2998,1.7840382777777781,1.7851215000000002
4.0,4.0363,-1.2999,1.7836772222222226,1.7851215000000002
5.0,4.0343,-1.2999,1.7833161388888892,1.7851215000000002
6.0,4.0326,-1.2999,1.7829550555555558,1.7851215000000002
7.0,4.0307,-1.2998,1.7825939722222224,1.7851215000000002
8.0,4.0292,-1.2999,1.7822329166666668,1.7851215000000002
9.0,4.0278,-1.2999,1.7818718333333337,1.7851215000000002
10.0,4.0265,-1.2999,1.7815107500000003,1.7851215000000002
11.0,4.0252,-1.2999,1.7811496666666669,1.7851215000000002
12.0,4.0241,-1.2999,1.7807885833333337,1.7851215000000002
13.0,4.0229,-1.2999,1.7804275000000003,1.7851215000000002
14.0,4.0219,-1.2998,1.7800664166666669,1.7851215000000002
15.0,4.0208,-1.2998,1.7797053611111113,1.7851215000000002
16.0,4.0197,-1.2998,1.7793443055555558,1.7851215000000002
17.0,4.0187,-1.2999,1.7789832500000002,1.7851215000000002
18.0,4.0175,-1.2998,1.7786221666666668,1.7851215000000002
19.0,4.0166,-1.2999,1.7782611111111113,1.7851215000000002
20.0,4.0157,-1.2998,1.7779000277777781,1.7851215000000002
21.0,4.0148,-1.2998,1.7775389722222226,1.7851215000000002
22.0,4.0139,-1.2998,1.777177916666667,1.7851215000000002
23.0,4.013,-1.2998,1.7768168611111113,1.7851215000000002
24.0,4.0122,-1.2999,1.7764558055555557,1.7851215000000002
25.0,4.0114,-1.2998,1.7760947222222225,1.7851215000000002
26.0,4.0104,-1.2999,1.775733666666667,1.7851215000000002
27.0,4.0097,-1.2999,1.7753725833333336,1.7851215000000002
28.0,4.0087,-1.2998,1.7750115000000002,1.7851215000000002
29.0,4.0082,-1.2998,1.7746504444444446,1.7851215000000002
30.0,4.0075,-1.2998,1.774289388888889,1.7851215000000002
31.0,4.0066,-1.2998,1.7739283333333336,1.7851215000000002
32.0,4.0057,-1.2998,1.773567277777778,1.7851215000000002
33.0,4.0047,-1.2999,1.7732062222222225,1.7851215000000002
34.0,4.0041,-1.2999,1.772845138888889,1.7851215000000002
35.0,4.0035,-1.2998,1.7724840555555559,1.7851215000000002
36.0,4.003,-1.2999,1.7721230000000003,1.7851215000000002
37.0,4.002,-1.2998,1.771761916666667,1.7851215000000002
38.0,4.0013,-1.2998,1.7714008611111114,1.7851215000000002
39.0,4.0008,-1.2999,1.7710398055555558,1.7851215000000002
40.0,4.0,-1.2998,1.7706787222222224,1.7851215000000002
41.0,3.9995,-1.2998,1.770317666666667,1.7851215000000002
42.0,3.9987,-1.2999,1.7699566111111114,1.7851215000000002
43.0,3.9981,-1.2998,1.769595527777778,1.7851215000000002
44.0,3.9974,-1.2999,1.7692344722222224,1.7851215000000002
45.0,3.9967,-1.2998,1.7688733888888892,1.7851215000000002
46.0,3.9964,-1.2999,1.7685123333333337,1.7851215000000002
47.0,3.9956,-1.2998,1.7681512500000003,1.7851215000000002
48.0,3.995,-1.2998,1.7677901944444447,1.7851215000000002
49.0,3.9943,-1.2999,1.7674291388888892,1.7851215000000002
50.0,3.9937,-1.2998,1.7670680555555558,1.7851215000000002
51.0,3.9932,-1.2999,1.7667070000000002,1.7851215000000002
52.0,3.9925,-1.2999,1.7663459166666668,1.7851215000000002
53.0,3.9921,-1.2999,1.7659848333333337,1.7851215000000002
54.0,3.9914,-1.2998,1.7656237500000003,1.7851215000000002
55.0,3.9908,-1.2998,1.7652626944444447,1.7851215000000002
56.0,3.9904,-1.2998,1.7649016388888892,1.7851215000000002
57.0,3.9897,-1.2999,1.7645405833333336,1.7851215000000002
58.0,3.9893,-1.2999,1.7641795000000002,1.7851215000000002
59.0,3.9885,-1.2998,1.7638184166666668,1.7851215000000002
60.0,3.9877,-1.2998,1.7634573611111113,1.7851215000000002
61.0,3.9872,-1.2998,1.7630963055555557,1.7851215000000002
62.0,3.9866,-1.2999,1.7627352500000002,1.7851215000000002
63.0,3.9865,-1.2998,1.762374166666667,1.7851215000000002
64.0,3.9856,-1.2998,1.7620131111111113,1.7851215000000002
65.0,3.9852,-1.2999,1.7616520555555557,1.7851215000000002
66.0,3.9846,-1.2999,1.7612909722222225,1.7851215000000002
67.0,3.9845,-1.2999,1.7609298888888891,1.7851215000000002
68.0,3.9838,-1.2998,1.7605688055555557,1.7851215000000002
69.0,3.9834,-1.2998,1.7602077500000002,1.7851215000000002
70.0,3.9825,-1.2999,1.7598466944444446,1.7851215000000002
71.0,3.9822,-1.2999,1.7594856111111115,1.7851215000000002
72.0,3.9817,-1.2998,1.759124527777778,1.7851215000000002
73.0,3.9812,-1.2999,1.7587634722222225,1.7851215000000002
74.0,3.9806,-1.2999,1.7584023888888891,1.7851215000000002
75.0,3.98,-1.2998,1.7580413055555557,1.7851215000000002
76.0,3.9797,-1.2998,1.7576802500000002,1.7851215000000002
77.0,3.9791,-1.2998,1.7573191944444446,1.7851215000000002
