Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0737,-1.2997,1.9303456944444448,1.9303456944444448
1.0,4.054,-1.2996,1.9299846666666671,1.9303456944444448
2.0,4.0502,-1.2997,1.929623666666667,1.9303456944444448
3.0,4.0472,-1.2998,1.9292626388888892,1.9303456944444448
4.0,4.045,-1.2998,1.9289015833333336,1.9303456944444448
5.0,4.043,-1.2996,1.928540527777778,1.9303456944444448
6.0,4.0413,-1.2997,1.9281795277777782,1.9303456944444448
7.0,4.0397,-1.2997,1.9278185000000003,1.9303456944444448
8.0,4.0379,-1.2997,1.9274574722222226,1.9303456944444448
9.0,4.0364,-1.2997,1.9270964444444447,1.9303456944444448
10.0,4.0351,-1.2997,1.926735416666667,1.9303456944444448
11.0,4.0339,-1.2996,1.9263743888888893,1.9303456944444448
12.0,4.0326,-1.2997,1.9260133888888893,1.9303456944444448
13.0,4.0315,-1.2996,1.9256523611111114,1.9303456944444448
14.0,4.0302,-1.2998,1.9252913611111115,1.9303456944444448
15.0,4.0292,-1.2996,1.924930305555556,1.9303456944444448
16.0,4.0277,-1.2996,1.924569305555556,1.9303456944444448
17.0,4.027,-1.2996,1.9242083055555559,1.9303456944444448
18.0,4.0257,-1.2997,1.9238473055555558,1.9303456944444448
19.0,4.0248,-1.2997,1.9234862777777781,1.9303456944444448
20.0,4.0237,-1.2996,1.9231252500000005,1.9303456944444448
21.0,4.0228,-1.2996,1.9227642500000004,1.9303456944444448
22.0,4.022,-1.2996,1.9224032500000003,1.9303456944444448
23.0,4.021,-1.2997,1.9220422500000003,1.9303456944444448
24.0,4.0203,-1.2998,1.9216812222222226,1.9303456944444448
25.0,4.0193,-1.2995,1.921320166666667,1.9303456944444448
26.0,4.0185,-1.2998,1.9209591944444449,1.9303456944444448
27.0,4.0175,-1.2995,1.9205981388888893,1.9303456944444448
28.0,4.0166,-1.2996,1.920237166666667,1.9303456944444448
29.0,4.016,-1.2997,1.919876166666667,1.9303456944444448
30.0,4.0152,-1.2997,1.9195151388888894,1.9303456944444448
31.0,4.0144,-1.2999,1.9191541111111114,1.9303456944444448
32.0,4.0135,-1.2996,1.918793027777778,1.9303456944444448
33.0,4.0128,-1.2997,1.9184320277777782,1.9303456944444448
34.0,4.0121,-1.2997,1.9180710000000003,1.9303456944444448
