Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0382,-1.2998,1.2549291944444443,1.2549291944444443
1.0,4.0238,-1.2998,1.2545681388888887,1.2549291944444443
2.0,4.0196,-1.3001,1.2542070833333332,1.2549291944444443
3.0,4.0162,-1.3,1.2538459444444443,1.2549291944444443
4.0,4.0136,-1.3002,1.2534848333333333,1.2549291944444443
5.0,4.0112,-1.2998,1.2531236666666665,1.2549291944444443
6.0,4.0092,-1.2999,1.252762611111111,1.2549291944444443
7.0,4.0073,-1.3001,1.2524015277777776,1.2549291944444443
8.0,4.0056,-1.3,1.2520403888888887,1.2549291944444443
9.0,4.0039,-1.2999,1.2516792777777777,1.2549291944444443
10.0,4.0024,-1.2999,1.2513181944444443,1.2549291944444443
11.0,4.0007,-1.2999,1.2509571111111109,1.2549291944444443
12.0,3.9993,-1.2998,1.2505960277777777,1.2549291944444443
13.0,3.9979,-1.3,1.2502349722222221,1.2549291944444443
14.0,3.9965,-1.2999,1.2498738611111109,1.2549291944444443
15.0,3.995,-1.2999,1.2495127777777777,1.2549291944444443
16.0,3.994,-1.2999,1.2491516944444443,1.2549291944444443
17.0,3.9929,-1.2999,1.248790611111111,1.2549291944444443
18.0,3.9916,-1.2999,1.2484295277777777,1.2549291944444443
19.0,3.9904,-1.2999,1.2480684444444443,1.2549291944444443
20.0,3.9893,-1.2998,1.247707361111111,1.2549291944444443
21.0,3.9883,-1.2999,1.2473463055555554,1.2549291944444443
22.0,3.9871,-1.3,1.246985222222222,1.2549291944444443
23.0,3.986,-1.3,1.246624111111111,1.2549291944444443
24.0,3.9851,-1.2998,1.246263,1.2549291944444443
25.0,3.9842,-1.2999,1.2459019444444444,1.2549291944444443
26.0,3.983,-1.2999,1.245540861111111,1.2549291944444443
27.0,3.9818,-1.2997,1.2451797777777776,1.2549291944444443
28.0,3.9812,-1.2998,1.2448187499999999,1.2549291944444443
29.0,3.98,-1.2998,1.2444576944444443,1.2549291944444443
30.0,3.9792,-1.3,1.2440966388888888,1.2549291944444443
31.0,3.978,-1.3,1.2437355277777775,1.2549291944444443
32.0,3.9771,-1.3001,1.2433744166666665,1.2549291944444443
33.0,3.9763,-1.3001,1.2430132777777776,1.2549291944444443
34.0,3.9755,-1.2999,1.2426521388888887,1.2549291944444443
35.0,3.9746,-1.2998,1.2422910555555553,1.2549291944444443
36.0,3.9737,-1.2999,1.2419299999999998,1.2549291944444443
37.0,3.9729,-1.3001,1.2415689166666666,1.2549291944444443
38.0,3.9719,-1.2998,1.2412077777777777,1.2549291944444443
39.0,3.971,-1.3,1.2408467222222221,1.2549291944444443
40.0,3.9702,-1.2996,1.2404856111111109,1.2549291944444443
41.0,3.9693,-1.3,1.240124611111111,1.2549291944444443
42.0,3.9686,-1.3001,1.2397634999999998,1.2549291944444443
43.0,3.9676,-1.2998,1.239402361111111,1.2549291944444443
44.0,3.9669,-1.2999,1.2390413055555554,1.2549291944444443
45.0,3.9662,-1.3001,1.238680222222222,1.2549291944444443
46.0,3.965,-1.2999,1.238319083333333,1.2549291944444443
47.0,3.9642,-1.2998,1.237958,1.2549291944444443
48.0,3.9637,-1.2998,1.2375969444444443,1.2549291944444443
49.0,3.963,-1.3,1.2372358888888888,1.2549291944444443
50.0,3.9621,-1.3,1.2368747777777775,1.2549291944444443
51.0,3.9615,-1.3002,1.2365136666666665,1.2549291944444443
52.0,3.9606,-1.3,1.2361524999999998,1.2549291944444443
53.0,3.9599,-1.3001,1.2357913888888887,1.2549291944444443
54.0,3.9592,-1.2999,1.2354302499999998,1.2549291944444443
55.0,3.9585,-1.2999,1.2350691666666664,1.2549291944444443
56.0,3.9576,-1.3,1.2347080833333333,1.2549291944444443
57.0,3.9568,-1.3,1.234346972222222,1.2549291944444443
58.0,3.9562,-1.2998,1.233985861111111,1.2549291944444443
59.0,3.9553,-1.2999,1.2336248055555554,1.2549291944444443
60.0,3.9546,-1.3,1.233263722222222,1.2549291944444443
61.0,3.954,-1.3001,1.232902611111111,1.2549291944444443
62.0,3.9531,-1.3001,1.232541472222222,1.2549291944444443
63.0,3.9526,-1.2998,1.2321803333333332,1.2549291944444443
64.0,3.9517,-1.2998,1.2318192777777777,1.2549291944444443
65.0,3.9511,-1.2999,1.2314582222222221,1.2549291944444443
66.0,3.9503,-1.2998,1.2310971388888887,1.2549291944444443
67.0,3.9495,-1.2999,1.2307360833333332,1.2549291944444443
68.0,3.9489,-1.2999,1.2303749999999998,1.2549291944444443
69.0,3.9484,-1.3,1.2300139166666666,1.2549291944444443
70.0,3.9476,-1.2999,1.2296528055555553,1.2549291944444443
71.0,3.947,-1.2999,1.2292917222222222,1.2549291944444443
72.0,3.9463,-1.2999,1.2289306388888888,1.2549291944444443
73.0,3.9456,-1.3,1.2285695555555554,1.2549291944444443
74.0,3.9449,-1.3,1.2282084444444443,1.2549291944444443
75.0,3.9444,-1.3001,1.227847333333333,1.2549291944444443
76.0,3.9437,-1.3001,1.2274861944444442,1.2549291944444443
77.0,3.9431,-1.3,1.2271250555555553,1.2549291944444443
78.0,3.9423,-1.3001,1.2267639444444443,1.2549291944444443
79.0,3.9418,-1.3001,1.2264028055555554,1.2549291944444443
80.0,3.9411,-1.3,1.2260416666666665,1.2549291944444443
81.0,3.9405,-1.2998,1.2256805555555554,1.2549291944444443
82.0,3.9398,-1.3002,1.2253195,1.2549291944444443
83.0,3.9392,-1.3,1.2249583333333331,1.2549291944444443
84.0,3.9384,-1.3,1.2245972222222221,1.2549291944444443
