Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0801,-1.3,1.7243544444444445,1.7243544444444445
1.0,4.0467,-1.2997,1.7239933333333335,1.7243544444444445
2.0,4.0428,-1.2997,1.7236323055555556,1.7243544444444445
3.0,4.0399,-1.2998,1.7232712777777779,1.7243544444444445
4.0,4.0379,-1.2997,1.7229102222222223,1.7243544444444445
5.0,4.036,-1.2998,1.7225491944444444,1.7243544444444445
6.0,4.0344,-1.2996,1.7221881388888889,1.7243544444444445
7.0,4.0326,-1.2998,1.721827138888889,1.7243544444444445
8.0,4.0313,-1.2997,1.7214660833333335,1.7243544444444445
9.0,4.0297,-1.2996,1.7211050555555556,1.7243544444444445
10.0,4.0283,-1.2997,1.7207440555555555,1.7243544444444445
11.0,4.0273,-1.2997,1.7203830277777779,1.7243544444444445
12.0,4.026,-1.2998,1.7200220000000002,1.7243544444444445
13.0,4.0249,-1.2997,1.7196609444444446,1.7243544444444445
14.0,4.0237,-1.2996,1.7192999166666667,1.7243544444444445
15.0,4.0225,-1.2998,1.7189389166666666,1.7243544444444445
16.0,4.0213,-1.2998,1.718577861111111,1.7243544444444445
17.0,4.0206,-1.2998,1.7182168055555556,1.7243544444444445
18.0,4.0197,-1.2996,1.71785575,1.7243544444444445
19.0,4.0183,-1.2998,1.7174947500000002,1.7243544444444445
20.0,4.0176,-1.2998,1.7171336944444444,1.7243544444444445
21.0,4.0166,-1.2998,1.7167726388888889,1.7243544444444445
22.0,4.0157,-1.2997,1.7164115833333333,1.7243544444444445
23.0,4.0147,-1.2997,1.7160505555555556,1.7243544444444445
24.0,4.0141,-1.2997,1.715689527777778,1.7243544444444445
25.0,4.013,-1.2999,1.7153285,1.7243544444444445
26.0,4.0122,-1.2996,1.7149674166666666,1.7243544444444445
27.0,4.0116,-1.2997,1.7146064166666668,1.7243544444444445
28.0,4.0107,-1.2996,1.7142453888888889,1.7243544444444445
29.0,4.0099,-1.2996,1.713884388888889,1.7243544444444445
30.0,4.0088,-1.2997,1.713523388888889,1.7243544444444445
31.0,4.0082,-1.2998,1.713162361111111,1.7243544444444445
32.0,4.0074,-1.2997,1.7128013055555555,1.7243544444444445
33.0,4.0065,-1.2998,1.7124402777777779,1.7243544444444445
34.0,4.0059,-1.2999,1.7120792222222223,1.7243544444444445
35.0,4.0053,-1.2997,1.711718138888889,1.7243544444444445
36.0,4.0046,-1.2999,1.7113571111111112,1.7243544444444445
37.0,4.0038,-1.2997,1.7109960277777778,1.7243544444444445
38.0,4.0031,-1.2998,1.7106350000000001,1.7243544444444445
39.0,4.0022,-1.2996,1.7102739444444446,1.7243544444444445
40.0,4.0015,-1.2998,1.7099129444444445,1.7243544444444445
41.0,4.0011,-1.2996,1.709551888888889,1.7243544444444445
42.0,4.0003,-1.2997,1.709190888888889,1.7243544444444445
43.0,3.9997,-1.2998,1.7088298611111112,1.7243544444444445
44.0,3.9992,-1.2998,1.7084688055555557,1.7243544444444445
45.0,3.9983,-1.2999,1.7081077500000001,1.7243544444444445
46.0,3.9978,-1.2998,1.7077466666666667,1.7243544444444445
47.0,3.9971,-1.2998,1.7073856111111112,1.7243544444444445
48.0,3.9964,-1.2997,1.7070245555555557,1.7243544444444445
49.0,3.9958,-1.2998,1.7066635277777777,1.7243544444444445
50.0,3.9952,-1.2997,1.7063024722222222,1.7243544444444445
51.0,3.9944,-1.2998,1.7059414444444445,1.7243544444444445
52.0,3.9942,-1.2998,1.705580388888889,1.7243544444444445
53.0,3.9934,-1.2998,1.7052193333333334,1.7243544444444445
54.0,3.9928,-1.2997,1.7048582777777779,1.7243544444444445
55.0,3.9923,-1.2996,1.7044972500000002,1.7243544444444445
56.0,3.9916,-1.2996,1.7041362500000001,1.7243544444444445
57.0,3.9911,-1.2997,1.70377525,1.7243544444444445
58.0,3.9906,-1.2998,1.7034142222222224,1.7243544444444445
