Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,3.9986,-1.3004,0.7843753333333334,0.7843753333333334
1.0,3.9758,-1.2995,0.7840141111111112,0.7843753333333334
2.0,3.9685,-1.2994,0.783653138888889,0.7843753333333334
3.0,3.963,-1.2994,0.7832921944444445,0.7843753333333334
4.0,3.9587,-1.2995,0.7829312500000001,0.7843753333333334
5.0,3.9543,-1.2994,0.7825702777777779,0.7843753333333334
6.0,3.951,-1.2994,0.7822093333333334,0.7843753333333334
7.0,3.9475,-1.2996,0.781848388888889,0.7843753333333334
8.0,3.9442,-1.2994,0.781487388888889,0.7843753333333334
9.0,3.9414,-1.2995,0.7811264444444446,0.7843753333333334
10.0,3.9384,-1.2995,0.7807654722222224,0.7843753333333334
11.0,3.9357,-1.2994,0.7804045000000001,0.7843753333333334
12.0,3.9329,-1.2994,0.7800435555555556,0.7843753333333334
13.0,3.9308,-1.2996,0.7796826111111113,0.7843753333333334
14.0,3.9281,-1.2995,0.7793216111111112,0.7843753333333334
15.0,3.9258,-1.2996,0.778960638888889,0.7843753333333334
16.0,3.9237,-1.2993,0.778599638888889,0.7843753333333334
17.0,3.9213,-1.2994,0.7782387222222223,0.7843753333333334
18.0,3.9189,-1.2996,0.7778777777777779,0.7843753333333334
19.0,3.9169,-1.2995,0.7775167777777778,0.7843753333333334
20.0,3.9149,-1.2997,0.7771558055555556,0.7843753333333334
21.0,3.913,-1.2995,0.7767947777777778,0.7843753333333334
22.0,3.911,-1.2995,0.7764338055555556,0.7843753333333334
23.0,3.9091,-1.2996,0.7760728333333334,0.7843753333333334
24.0,3.9072,-1.2995,0.7757118333333334,0.7843753333333334
25.0,3.9053,-1.2996,0.7753508611111112,0.7843753333333334
26.0,3.9036,-1.2994,0.7749898611111112,0.7843753333333334
27.0,3.9016,-1.2994,0.7746289166666668,0.7843753333333334
28.0,3.9,-1.2995,0.7742679722222223,0.7843753333333334
29.0,3.8983,-1.2996,0.7739070000000001,0.7843753333333334
30.0,3.8965,-1.2996,0.7735460000000001,0.7843753333333334
31.0,3.8945,-1.2995,0.7731850000000001,0.7843753333333334
32.0,3.8933,-1.2994,0.7728240277777779,0.7843753333333334
33.0,3.8917,-1.2996,0.7724630833333335,0.7843753333333334
34.0,3.8899,-1.2994,0.7721020833333334,0.7843753333333334
35.0,3.8884,-1.2993,0.771741138888889,0.7843753333333334
36.0,3.8867,-1.2996,0.7713802222222224,0.7843753333333334
37.0,3.8852,-1.2995,0.7710192222222223,0.7843753333333334
38.0,3.8838,-1.2994,0.7706582500000001,0.7843753333333334
39.0,3.8824,-1.2996,0.7702973055555556,0.7843753333333334
40.0,3.8809,-1.2994,0.7699363055555557,0.7843753333333334
41.0,3.879,-1.2995,0.7695753611111112,0.7843753333333334
42.0,3.8776,-1.2995,0.7692143888888889,0.7843753333333334
43.0,3.8762,-1.2994,0.7688534166666667,0.7843753333333334
44.0,3.8747,-1.2995,0.7684924722222223,0.7843753333333334
45.0,3.8734,-1.2993,0.7681315000000001,0.7843753333333334
46.0,3.8717,-1.2996,0.7677705833333335,0.7843753333333334
47.0,3.8705,-1.2996,0.7674095833333334,0.7843753333333334
48.0,3.869,-1.2994,0.7670485833333334,0.7843753333333334
49.0,3.8678,-1.2994,0.766687638888889,0.7843753333333334
50.0,3.8659,-1.2996,0.7663266944444446,0.7843753333333334
51.0,3.8647,-1.2994,0.7659656944444445,0.7843753333333334
52.0,3.8632,-1.2996,0.7656047500000001,0.7843753333333334
53.0,3.8619,-1.2995,0.7652437500000001,0.7843753333333334
54.0,3.8603,-1.2997,0.7648827777777779,0.7843753333333334
55.0,3.8594,-1.2994,0.7645217500000001,0.7843753333333334
56.0,3.8579,-1.2997,0.7641608055555557,0.7843753333333334
57.0,3.8565,-1.2995,0.7637997777777779,0.7843753333333334
58.0,3.8553,-1.2995,0.7634388055555557,0.7843753333333334
59.0,3.8542,-1.2994,0.7630778333333335,0.7843753333333334
60.0,3.8527,-1.2995,0.762716888888889,0.7843753333333334
61.0,3.8512,-1.2995,0.7623559166666668,0.7843753333333334
62.0,3.8499,-1.2995,0.7619949444444445,0.7843753333333334
63.0,3.8487,-1.2995,0.7616339722222223,0.7843753333333334
64.0,3.8474,-1.2994,0.7612730000000001,0.7843753333333334
65.0,3.8462,-1.2995,0.7609120555555556,0.7843753333333334
66.0,3.8449,-1.2997,0.7605510833333334,0.7843753333333334
67.0,3.8439,-1.2994,0.7601900555555556,0.7843753333333334
68.0,3.8423,-1.2995,0.7598291111111112,0.7843753333333334
69.0,3.8412,-1.2995,0.759468138888889,0.7843753333333334
70.0,3.8398,-1.2994,0.7591071666666668,0.7843753333333334
71.0,3.839,-1.2994,0.7587462222222223,0.7843753333333334
72.0,3.8376,-1.2994,0.7583852777777779,0.7843753333333334
73.0,3.8364,-1.2995,0.7580243333333334,0.7843753333333334
74.0,3.835,-1.2995,0.7576633611111112,0.7843753333333334
75.0,3.8339,-1.2996,0.757302388888889,0.7843753333333334
76.0,3.8327,-1.2995,0.756941388888889,0.7843753333333334
77.0,3.8313,-1.2997,0.7565804166666668,0.7843753333333334
78.0,3.8304,-1.2996,0.756219388888889,0.7843753333333334
79.0,3.8289,-1.2995,0.755858388888889,0.7843753333333334
80.0,3.828,-1.2997,0.7554974166666668,0.7843753333333334
81.0,3.8267,-1.2993,0.755136388888889,0.7843753333333334
82.0,3.826,-1.2995,0.7547754722222223,0.7843753333333334
83.0,3.8245,-1.2995,0.7544145000000001,0.7843753333333334
84.0,3.8234,-1.2996,0.7540535277777779,0.7843753333333334
85.0,3.822,-1.2996,0.7536925277777778,0.7843753333333334
86.0,3.8212,-1.2995,0.7533315277777779,0.7843753333333334
87.0,3.8198,-1.2994,0.7529705555555557,0.7843753333333334
88.0,3.8188,-1.2994,0.7526096111111112,0.7843753333333334
89.0,3.8178,-1.2995,0.7522486666666668,0.7843753333333334
90.0,3.8165,-1.2996,0.7518876944444446,0.7843753333333334
91.0,3.8154,-1.2996,0.7515266944444445,0.7843753333333334
92.0,3.8144,-1.2994,0.7511656944444446,0.7843753333333334
93.0,3.8133,-1.2993,0.7508047500000001,0.7843753333333334
94.0,3.8121,-1.2996,0.7504438333333334,0.7843753333333334
95.0,3.8112,-1.2995,0.7500828333333335,0.7843753333333334
96.0,3.81,-1.2996,0.7497218611111112,0.7843753333333334
97.0,3.8088,-1.2995,0.7493608611111112,0.7843753333333334
98.0,3.8079,-1.2994,0.748999888888889,0.7843753333333334
99.0,3.8068,-1.2994,0.7486389444444446,0.7843753333333334
100.0,3.8057,-1.2994,0.7482780000000001,0.7843753333333334
101.0,3.8045,-1.2994,0.7479170555555557,0.7843753333333334
102.0,3.8036,-1.2995,0.7475561111111112,0.7843753333333334
103.0,3.8023,-1.2997,0.747195138888889,0.7843753333333334
104.0,3.8012,-1.2995,0.7468341111111112,0.7843753333333334
105.0,3.8002,-1.2993,0.746473138888889,0.7843753333333334
106.0,3.7994,-1.2995,0.7461122222222223,0.7843753333333334
107.0,3.7982,-1.2995,0.7457512500000001,0.7843753333333334
108.0,3.7973,-1.2995,0.7453902777777779,0.7843753333333334
109.0,3.7962,-1.2995,0.7450293055555557,0.7843753333333334
110.0,3.7952,-1.2993,0.7446683333333334,0.7843753333333334
111.0,3.7941,-1.2994,0.7443074166666668,0.7843753333333334
112.0,3.7932,-1.2994,0.7439464722222223,0.7843753333333334
113.0,3.7921,-1.2994,0.7435855277777779,0.7843753333333334
114.0,3.7913,-1.2997,0.7432245833333334,0.7843753333333334
115.0,3.7902,-1.2994,0.7428635555555556,0.7843753333333334
116.0,3.7891,-1.2995,0.7425026111111112,0.7843753333333334
117.0,3.7881,-1.2995,0.742141638888889,0.7843753333333334
118.0,3.7872,-1.2996,0.7417806666666668,0.7843753333333334
119.0,3.7863,-1.2994,0.7414196666666668,0.7843753333333334
120.0,3.7852,-1.2997,0.7410587222222224,0.7843753333333334
121.0,3.7841,-1.2994,0.7406976944444446,0.7843753333333334
122.0,3.7834,-1.2994,0.7403367500000001,0.7843753333333334
123.0,3.7823,-1.2993,0.7399758055555556,0.7843753333333334
124.0,3.7813,-1.2994,0.7396148888888889,0.7843753333333334
125.0,3.7804,-1.2995,0.7392539444444446,0.7843753333333334
126.0,3.7797,-1.2996,0.7388929722222223,0.7843753333333334
127.0,3.7785,-1.2994,0.7385319722222223,0.7843753333333334
128.0,3.7776,-1.2995,0.7381710277777779,0.7843753333333334
129.0,3.7768,-1.2998,0.7378100555555557,0.7843753333333334
130.0,3.776,-1.2994,0.7374490000000001,0.7843753333333334
131.0,3.7747,-1.2997,0.7370880555555557,0.7843753333333334
132.0,3.7739,-1.2994,0.7367270277777779,0.7843753333333334
133.0,3.7729,-1.2994,0.7363660833333334,0.7843753333333334
134.0,3.7721,-1.2997,0.736005138888889,0.7843753333333334
135.0,3.7712,-1.2997,0.7356441111111112,0.7843753333333334
136.0,3.7703,-1.2995,0.7352830833333335,0.7843753333333334
137.0,3.7692,-1.2993,0.7349221111111112,0.7843753333333334
138.0,3.7682,-1.2993,0.7345611944444446,0.7843753333333334
139.0,3.7674,-1.2995,0.7342002777777779,0.7843753333333334
140.0,3.7665,-1.2995,0.7338393055555557,0.7843753333333334
141.0,3.7656,-1.2995,0.7334783333333335,0.7843753333333334
