Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.018,-1.3002,1.1194360555555558,1.1194360555555558
1.0,4.0001,-1.2999,1.119074888888889,1.1194360555555558
2.0,3.9954,-1.2999,1.1187138055555559,1.1194360555555558
3.0,3.9922,-1.2999,1.1183527222222225,1.1194360555555558
4.0,3.9896,-1.2999,1.117991638888889,1.1194360555555558
5.0,3.9869,-1.2999,1.117630555555556,1.1194360555555558
6.0,3.9848,-1.3,1.1172694722222225,1.1194360555555558
7.0,3.9828,-1.2999,1.1169083611111115,1.1194360555555558
8.0,3.9812,-1.3,1.116547277777778,1.1194360555555558
9.0,3.9793,-1.3001,1.1161861666666668,1.1194360555555558
10.0,3.9777,-1.2999,1.115825027777778,1.1194360555555558
11.0,3.976,-1.3,1.1154639444444447,1.1194360555555558
12.0,3.9743,-1.2998,1.1151028333333335,1.1194360555555558
13.0,3.973,-1.3,1.114741777777778,1.1194360555555558
14.0,3.9715,-1.3001,1.114380666666667,1.1194360555555558
15.0,3.9701,-1.2999,1.114019527777778,1.1194360555555558
16.0,3.9687,-1.3001,1.1136584444444446,1.1194360555555558
17.0,3.9674,-1.2999,1.1132973055555557,1.1194360555555558
18.0,3.9662,-1.3,1.1129362222222225,1.1194360555555558
19.0,3.9647,-1.2998,1.1125751111111113,1.1194360555555558
20.0,3.9637,-1.3,1.1122140555555557,1.1194360555555558
21.0,3.9626,-1.3,1.1118529444444447,1.1194360555555558
22.0,3.9614,-1.3,1.1114918333333337,1.1194360555555558
23.0,3.9599,-1.2999,1.1111307222222224,1.1194360555555558
24.0,3.9592,-1.3,1.1107696388888892,1.1194360555555558
25.0,3.9579,-1.3,1.110408527777778,1.1194360555555558
26.0,3.9569,-1.3,1.110047416666667,1.1194360555555558
27.0,3.9556,-1.3,1.109686305555556,1.1194360555555558
28.0,3.9547,-1.3,1.1093251944444447,1.1194360555555558
29.0,3.9537,-1.2998,1.1089640833333336,1.1194360555555558
30.0,3.9526,-1.2999,1.108603027777778,1.1194360555555558
31.0,3.9516,-1.3,1.1082419444444447,1.1194360555555558
32.0,3.9505,-1.2999,1.1078808333333336,1.1194360555555558
33.0,3.9498,-1.2998,1.1075197500000002,1.1194360555555558
34.0,3.9485,-1.2998,1.1071586944444447,1.1194360555555558
35.0,3.9476,-1.2998,1.1067976388888892,1.1194360555555558
36.0,3.9463,-1.3,1.1064365833333336,1.1194360555555558
37.0,3.9457,-1.2999,1.1060754722222226,1.1194360555555558
38.0,3.9448,-1.2999,1.1057143888888892,1.1194360555555558
39.0,3.9438,-1.2999,1.1053533055555558,1.1194360555555558
40.0,3.9428,-1.2998,1.1049922222222224,1.1194360555555558
41.0,3.9418,-1.3,1.1046311666666668,1.1194360555555558
42.0,3.9407,-1.3001,1.1042700555555558,1.1194360555555558
43.0,3.94,-1.2999,1.103908916666667,1.1194360555555558
44.0,3.9392,-1.3001,1.1035478333333335,1.1194360555555558
45.0,3.9381,-1.3001,1.1031866944444446,1.1194360555555558
46.0,3.9374,-1.3,1.1028255555555557,1.1194360555555558
47.0,3.9363,-1.2999,1.1024644444444447,1.1194360555555558
48.0,3.9354,-1.3,1.1021033611111113,1.1194360555555558
49.0,3.9349,-1.2999,1.1017422500000003,1.1194360555555558
50.0,3.9338,-1.3,1.1013811666666669,1.1194360555555558
51.0,3.9331,-1.3,1.1010200555555558,1.1194360555555558
52.0,3.9319,-1.3,1.1006589444444448,1.1194360555555558
53.0,3.9313,-1.3,1.1002978333333335,1.1194360555555558
54.0,3.9303,-1.3,1.0999367222222225,1.1194360555555558
55.0,3.9296,-1.2999,1.0995756111111115,1.1194360555555558
56.0,3.9287,-1.3001,1.099214527777778,1.1194360555555558
57.0,3.9278,-1.3,1.0988533888888892,1.1194360555555558
58.0,3.9269,-1.3002,1.0984922777777781,1.1194360555555558
59.0,3.9266,-1.3,1.0981311111111114,1.1194360555555558
60.0,3.9253,-1.2999,1.0977700000000004,1.1194360555555558
61.0,3.9248,-1.3001,1.097408916666667,1.1194360555555558
62.0,3.9239,-1.3001,1.097047777777778,1.1194360555555558
63.0,3.923,-1.3,1.0966866388888892,1.1194360555555558
64.0,3.9224,-1.3001,1.0963255277777781,1.1194360555555558
65.0,3.9216,-1.3,1.095964388888889,1.1194360555555558
