Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0806,-1.3006,1.9683573333333335,1.9683573333333335
1.0,4.0631,-1.3002,1.9679960555555558,1.9683573333333335
2.0,4.0591,-1.3002,1.967634888888889,1.9683573333333335
3.0,4.0566,-1.3004,1.9672737222222223,1.9683573333333335
4.0,4.054,-1.3003,1.9669125000000003,1.9683573333333335
5.0,4.0522,-1.3002,1.9665513055555557,1.9683573333333335
6.0,4.0503,-1.3001,1.9661901388888892,1.9683573333333335
7.0,4.0486,-1.3004,1.9658290000000003,1.9683573333333335
8.0,4.047,-1.3001,1.965467777777778,1.9683573333333335
9.0,4.0456,-1.3001,1.9651066388888891,1.9683573333333335
10.0,4.0444,-1.3001,1.9647455000000003,1.9683573333333335
11.0,4.0428,-1.3002,1.9643843611111114,1.9683573333333335
12.0,4.0416,-1.3002,1.9640231944444446,1.9683573333333335
13.0,4.0404,-1.3001,1.9636620277777779,1.9683573333333335
14.0,4.0394,-1.3002,1.963300888888889,1.9683573333333335
15.0,4.0383,-1.3001,1.9629397222222225,1.9683573333333335
16.0,4.0369,-1.3002,1.9625785833333336,1.9683573333333335
17.0,4.0361,-1.3,1.9622174166666668,1.9683573333333335
18.0,4.0351,-1.3,1.9618563055555558,1.9683573333333335
19.0,4.0339,-1.3001,1.9614951944444445,1.9683573333333335
20.0,4.0331,-1.3001,1.9611340555555556,1.9683573333333335
21.0,4.0323,-1.3004,1.9607729166666668,1.9683573333333335
22.0,4.0311,-1.3001,1.9604116944444445,1.9683573333333335
23.0,4.0305,-1.3002,1.9600505555555556,1.9683573333333335
24.0,4.0295,-1.3002,1.959689388888889,1.9683573333333335
25.0,4.0286,-1.3001,1.9593282222222224,1.9683573333333335
26.0,4.0275,-1.3002,1.9589670833333335,1.9683573333333335
27.0,4.027,-1.3003,1.958605916666667,1.9683573333333335
28.0,4.026,-1.3002,1.9582447222222223,1.9683573333333335
29.0,4.0253,-1.3003,1.9578835555555558,1.9683573333333335
30.0,4.0243,-1.3002,1.9575223611111112,1.9683573333333335
31.0,4.0238,-1.3,1.9571611944444447,1.9683573333333335
32.0,4.0229,-1.3002,1.9568000833333334,1.9683573333333335
33.0,4.0222,-1.3003,1.956438916666667,1.9683573333333335
34.0,4.0212,-1.3002,1.9560777222222223,1.9683573333333335
35.0,4.0208,-1.3001,1.9557165555555558,1.9683573333333335
36.0,4.0201,-1.3004,1.955355416666667,1.9683573333333335
37.0,4.019,-1.3,1.9549941944444447,1.9683573333333335
38.0,4.0186,-1.3,1.9546330833333334,1.9683573333333335
39.0,4.0179,-1.3001,1.9542719722222224,1.9683573333333335
40.0,4.0173,-1.3001,1.9539108333333335,1.9683573333333335
41.0,4.0165,-1.3002,1.9535496944444446,1.9683573333333335
