Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0283,-1.3003,1.1453779444444445,1.1453779444444445
1.0,4.0081,-1.3,1.1450167500000001,1.1453779444444445
2.0,4.0028,-1.3,1.1446556388888889,1.1453779444444445
3.0,3.9991,-1.2998,1.1442945277777778,1.1453779444444445
4.0,3.9962,-1.2999,1.1439334722222223,1.1453779444444445
5.0,3.9936,-1.2999,1.143572388888889,1.1453779444444445
6.0,3.9916,-1.2998,1.1432113055555557,1.1453779444444445
7.0,3.9892,-1.2998,1.1428502500000002,1.1453779444444445
8.0,3.9874,-1.2999,1.1424891944444444,1.1453779444444445
9.0,3.9857,-1.2998,1.1421281111111112,1.1453779444444445
10.0,3.984,-1.2999,1.1417670555555557,1.1453779444444445
11.0,3.9826,-1.2998,1.1414059722222223,1.1453779444444445
12.0,3.9808,-1.3,1.1410449166666667,1.1453779444444445
13.0,3.9792,-1.2999,1.1406838055555557,1.1453779444444445
14.0,3.978,-1.2998,1.1403227222222223,1.1453779444444445
15.0,3.9764,-1.2999,1.1399616666666668,1.1453779444444445
16.0,3.9753,-1.2999,1.1396005833333334,1.1453779444444445
17.0,3.9741,-1.2999,1.1392395000000002,1.1453779444444445
18.0,3.9727,-1.2999,1.1388784166666668,1.1453779444444445
19.0,3.9713,-1.2998,1.1385173333333334,1.1453779444444445
20.0,3.9705,-1.2999,1.1381562777777778,1.1453779444444445
21.0,3.9692,-1.3,1.1377951944444444,1.1453779444444445
22.0,3.9678,-1.2999,1.1374340833333334,1.1453779444444445
23.0,3.967,-1.2999,1.137073,1.1453779444444445
24.0,3.9659,-1.3,1.1367119166666668,1.1453779444444445
25.0,3.9645,-1.2999,1.1363508055555556,1.1453779444444445
26.0,3.9635,-1.2999,1.1359897222222224,1.1453779444444445
27.0,3.9628,-1.2999,1.135628638888889,1.1453779444444445
28.0,3.9615,-1.2999,1.1352675555555556,1.1453779444444445
29.0,3.9602,-1.2998,1.1349064722222222,1.1453779444444445
30.0,3.9591,-1.3,1.1345454166666666,1.1453779444444445
31.0,3.9583,-1.2999,1.1341843055555556,1.1453779444444445
32.0,3.9573,-1.3,1.1338232222222222,1.1453779444444445
33.0,3.9565,-1.2999,1.1334621111111112,1.1453779444444445
34.0,3.9555,-1.2999,1.1331010277777778,1.1453779444444445
35.0,3.9545,-1.3,1.1327399444444446,1.1453779444444445
36.0,3.9534,-1.2999,1.1323788333333333,1.1453779444444445
37.0,3.9528,-1.2999,1.1320177500000002,1.1453779444444445
38.0,3.9516,-1.2999,1.1316566666666668,1.1453779444444445
39.0,3.9509,-1.2999,1.1312955833333334,1.1453779444444445
40.0,3.9499,-1.2999,1.1309345000000002,1.1453779444444445
41.0,3.949,-1.2999,1.1305734166666668,1.1453779444444445
42.0,3.9483,-1.2999,1.1302123333333334,1.1453779444444445
43.0,3.9474,-1.3001,1.12985125,1.1453779444444445
44.0,3.9462,-1.2999,1.129490111111111,1.1453779444444445
45.0,3.9456,-1.2999,1.129129027777778,1.1453779444444445
46.0,3.9448,-1.2999,1.1287679444444445,1.1453779444444445
47.0,3.9438,-1.2999,1.128406861111111,1.1453779444444445
48.0,3.9433,-1.2998,1.128045777777778,1.1453779444444445
49.0,3.942,-1.3,1.1276847222222224,1.1453779444444445
50.0,3.9413,-1.2998,1.1273236111111111,1.1453779444444445
51.0,3.9404,-1.2998,1.1269625555555556,1.1453779444444445
52.0,3.9396,-1.2999,1.1266015,1.1453779444444445
53.0,3.939,-1.2999,1.1262404166666666,1.1453779444444445
54.0,3.938,-1.2999,1.1258793333333335,1.1453779444444445
55.0,3.9374,-1.2999,1.12551825,1.1453779444444445
56.0,3.9365,-1.2999,1.1251571666666667,1.1453779444444445
57.0,3.9356,-1.2998,1.1247960833333335,1.1453779444444445
58.0,3.9348,-1.2999,1.124435027777778,1.1453779444444445
59.0,3.9341,-1.3,1.1240739444444445,1.1453779444444445
60.0,3.9331,-1.2999,1.1237128333333335,1.1453779444444445
61.0,3.9325,-1.2999,1.12335175,1.1453779444444445
62.0,3.9317,-1.2999,1.1229906666666667,1.1453779444444445
63.0,3.9309,-1.2999,1.1226295833333333,1.1453779444444445
64.0,3.9302,-1.3,1.1222685000000001,1.1453779444444445
65.0,3.9294,-1.2999,1.1219073888888889,1.1453779444444445
66.0,3.9284,-1.2999,1.1215463055555557,1.1453779444444445
67.0,3.9277,-1.3,1.1211852222222223,1.1453779444444445
68.0,3.9273,-1.2999,1.1208241111111112,1.1453779444444445
69.0,3.9267,-1.2999,1.1204630277777778,1.1453779444444445
70.0,3.9257,-1.2999,1.1201019444444444,1.1453779444444445
71.0,3.9248,-1.2999,1.1197408611111113,1.1453779444444445
72.0,3.9243,-1.3,1.1193797777777779,1.1453779444444445
73.0,3.9234,-1.2999,1.1190186666666668,1.1453779444444445
74.0,3.9226,-1.2999,1.1186575833333334,1.1453779444444445
75.0,3.9218,-1.2999,1.1182965,1.1453779444444445
76.0,3.9212,-1.2999,1.1179354166666666,1.1453779444444445
77.0,3.9206,-1.3,1.1175743333333334,1.1453779444444445
78.0,3.9199,-1.2999,1.1172132222222222,1.1453779444444445
79.0,3.9189,-1.2999,1.116852138888889,1.1453779444444445
80.0,3.9186,-1.2999,1.1164910555555556,1.1453779444444445
81.0,3.9177,-1.2999,1.1161299722222222,1.1453779444444445
82.0,3.9173,-1.2999,1.115768888888889,1.1453779444444445
83.0,3.9164,-1.2999,1.1154078055555556,1.1453779444444445
84.0,3.9159,-1.3,1.1150467222222222,1.1453779444444445
85.0,3.9151,-1.2999,1.1146856111111112,1.1453779444444445
