Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.071,-1.3007,1.7003719444444445,1.7003719444444445
1.0,4.0569,-1.3007,1.700010638888889,1.7003719444444445
2.0,4.0536,-1.3007,1.6996493333333333,1.7003719444444445
3.0,4.0506,-1.3007,1.6992880277777778,1.7003719444444445
4.0,4.0487,-1.3007,1.6989267222222222,1.7003719444444445
5.0,4.0465,-1.3009,1.6985654166666668,1.7003719444444445
6.0,4.0449,-1.3007,1.6982040555555555,1.7003719444444445
7.0,4.0434,-1.3005,1.69784275,1.7003719444444445
8.0,4.0419,-1.3007,1.6974815,1.7003719444444445
9.0,4.0406,-1.3006,1.6971201944444445,1.7003719444444445
10.0,4.0392,-1.3008,1.6967589166666668,1.7003719444444445
11.0,4.038,-1.3007,1.6963975833333333,1.7003719444444445
12.0,4.0369,-1.3008,1.6960362777777778,1.7003719444444445
13.0,4.0354,-1.3007,1.6956749444444446,1.7003719444444445
14.0,4.0345,-1.3005,1.695313638888889,1.7003719444444445
15.0,4.0334,-1.3007,1.6949523888888889,1.7003719444444445
16.0,4.0324,-1.3006,1.6945910833333333,1.7003719444444445
17.0,4.0314,-1.3007,1.6942298055555556,1.7003719444444445
18.0,4.0303,-1.3008,1.6938685,1.7003719444444445
19.0,4.0295,-1.3006,1.6935071666666668,1.7003719444444445
20.0,4.0284,-1.3008,1.693145888888889,1.7003719444444445
21.0,4.0275,-1.3006,1.6927845555555556,1.7003719444444445
22.0,4.0266,-1.3006,1.692423277777778,1.7003719444444445
23.0,4.0259,-1.3005,1.692062,1.7003719444444445
24.0,4.0253,-1.3007,1.69170075,1.7003719444444445
25.0,4.0241,-1.3006,1.6913394444444445,1.7003719444444445
26.0,4.0235,-1.3005,1.6909781666666668,1.7003719444444445
27.0,4.0227,-1.3005,1.6906169166666667,1.7003719444444445
28.0,4.022,-1.3006,1.6902556666666668,1.7003719444444445
29.0,4.0212,-1.3006,1.6898943888888889,1.7003719444444445
30.0,4.0201,-1.3006,1.6895331111111112,1.7003719444444445
31.0,4.0193,-1.3004,1.6891718333333334,1.7003719444444445
32.0,4.0186,-1.3002,1.6888106111111112,1.7003719444444445
33.0,4.0179,-1.3006,1.6884494444444444,1.7003719444444445
34.0,4.0172,-1.3007,1.6880881666666667,1.7003719444444445
35.0,4.0161,-1.3005,1.6877268611111111,1.7003719444444445
36.0,4.0155,-1.3005,1.6873656111111113,1.7003719444444445
37.0,4.0151,-1.3006,1.6870043611111112,1.7003719444444445
38.0,4.0142,-1.3006,1.6866430833333335,1.7003719444444445
39.0,4.0136,-1.3005,1.6862818055555555,1.7003719444444445
40.0,4.0127,-1.3006,1.6859205555555556,1.7003719444444445
41.0,4.0123,-1.3004,1.685559277777778,1.7003719444444445
42.0,4.0114,-1.3006,1.6851980555555557,1.7003719444444445
43.0,4.0108,-1.3006,1.6848367777777777,1.7003719444444445
44.0,4.0101,-1.3007,1.6844755,1.7003719444444445
45.0,4.0096,-1.3004,1.6841141944444444,1.7003719444444445
46.0,4.0087,-1.3006,1.6837529722222222,1.7003719444444445
47.0,4.0082,-1.3006,1.6833916944444445,1.7003719444444445
48.0,4.0078,-1.3005,1.6830304166666668,1.7003719444444445
49.0,4.0068,-1.3006,1.6826691666666667,1.7003719444444445
50.0,4.0064,-1.3008,1.682307888888889,1.7003719444444445
51.0,4.0057,-1.3004,1.6819465555555557,1.7003719444444445
52.0,4.0051,-1.3006,1.6815853333333335,1.7003719444444445
53.0,4.0045,-1.3005,1.6812240555555555,1.7003719444444445
54.0,4.0039,-1.3005,1.6808628055555557,1.7003719444444445
55.0,4.0034,-1.3004,1.6805015555555556,1.7003719444444445
56.0,4.0026,-1.3006,1.6801403333333333,1.7003719444444445
57.0,4.0021,-1.3007,1.6797790555555556,1.7003719444444445
58.0,4.0014,-1.3006,1.67941775,1.7003719444444445
59.0,4.0009,-1.3004,1.6790564722222223,1.7003719444444445
60.0,4.0002,-1.3007,1.67869525,1.7003719444444445
61.0,3.9998,-1.3006,1.6783339444444445,1.7003719444444445
62.0,3.9995,-1.3005,1.6779726666666668,1.7003719444444445
63.0,3.9988,-1.3006,1.6776114166666667,1.7003719444444445
64.0,3.9983,-1.3007,1.677250138888889,1.7003719444444445
65.0,3.9976,-1.3006,1.6768888333333334,1.7003719444444445
66.0,3.9969,-1.3007,1.6765275555555557,1.7003719444444445
67.0,3.9967,-1.3007,1.67616625,1.7003719444444445
68.0,3.9959,-1.3008,1.6758049444444445,1.7003719444444445
69.0,3.9953,-1.3007,1.675443611111111,1.7003719444444445
70.0,3.9944,-1.3006,1.6750823055555557,1.7003719444444445
71.0,3.9941,-1.3006,1.6747210277777778,1.7003719444444445
72.0,3.9939,-1.3009,1.67435975,1.7003719444444445
73.0,3.9932,-1.3005,1.673998388888889,1.7003719444444445
74.0,3.9926,-1.3006,1.6736371388888889,1.7003719444444445
75.0,3.9922,-1.3007,1.6732758611111112,1.7003719444444445
76.0,3.9917,-1.3006,1.6729145555555556,1.7003719444444445
