Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0522,-1.3004,1.5858669166666668,1.5858669166666668
1.0,4.0331,-1.3001,1.5855056944444446,1.5858669166666668
2.0,4.0283,-1.3001,1.5851445555555557,1.5858669166666668
3.0,4.0252,-1.3001,1.5847834166666668,1.5858669166666668
4.0,4.0225,-1.3002,1.5844222777777779,1.5858669166666668
5.0,4.0202,-1.3002,1.5840611111111111,1.5858669166666668
6.0,4.0181,-1.3001,1.5836999444444446,1.5858669166666668
7.0,4.0163,-1.3002,1.5833388055555557,1.5858669166666668
8.0,4.0145,-1.3002,1.582977638888889,1.5858669166666668
9.0,4.0128,-1.3001,1.5826164722222225,1.5858669166666668
10.0,4.0115,-1.3002,1.5822553333333336,1.5858669166666668
11.0,4.0102,-1.3002,1.5818941666666668,1.5858669166666668
12.0,4.009,-1.3002,1.581533,1.5858669166666668
13.0,4.0075,-1.3002,1.5811718333333336,1.5858669166666668
14.0,4.0064,-1.3001,1.5808106666666668,1.5858669166666668
15.0,4.005,-1.3002,1.580449527777778,1.5858669166666668
16.0,4.0038,-1.3002,1.5800883611111112,1.5858669166666668
17.0,4.0029,-1.3002,1.5797271944444446,1.5858669166666668
18.0,4.0017,-1.3002,1.579366027777778,1.5858669166666668
19.0,4.0005,-1.3001,1.5790048611111112,1.5858669166666668
20.0,3.9995,-1.3001,1.5786437222222223,1.5858669166666668
21.0,3.9987,-1.3002,1.5782825833333334,1.5858669166666668
22.0,3.9976,-1.3002,1.5779214166666669,1.5858669166666668
23.0,3.9966,-1.3002,1.57756025,1.5858669166666668
24.0,3.9956,-1.3002,1.5771990833333334,1.5858669166666668
25.0,3.9948,-1.3001,1.5768379166666668,1.5858669166666668
26.0,3.994,-1.3002,1.576476777777778,1.5858669166666668
27.0,3.9931,-1.3001,1.5761156111111112,1.5858669166666668
28.0,3.9922,-1.3002,1.5757544722222223,1.5858669166666668
29.0,3.9916,-1.3001,1.5753933055555558,1.5858669166666668
30.0,3.9903,-1.3001,1.575032166666667,1.5858669166666668
31.0,3.9894,-1.3002,1.574671027777778,1.5858669166666668
32.0,3.9889,-1.3001,1.5743098611111113,1.5858669166666668
33.0,3.9883,-1.3001,1.5739487222222224,1.5858669166666668
34.0,3.9874,-1.3002,1.5735875833333335,1.5858669166666668
35.0,3.9864,-1.3002,1.5732264166666667,1.5858669166666668
36.0,3.9855,-1.3001,1.5728652500000002,1.5858669166666668
37.0,3.9849,-1.3001,1.5725041111111113,1.5858669166666668
38.0,3.9843,-1.3001,1.5721429722222224,1.5858669166666668
39.0,3.9837,-1.3001,1.5717818333333335,1.5858669166666668
40.0,3.9827,-1.3001,1.5714206944444447,1.5858669166666668
41.0,3.9821,-1.3001,1.5710595555555558,1.5858669166666668
42.0,3.9812,-1.3002,1.5706984166666669,1.5858669166666668
43.0,3.9805,-1.3002,1.5703372500000001,1.5858669166666668
44.0,3.98,-1.3002,1.5699760833333334,1.5858669166666668
45.0,3.9792,-1.3001,1.5696149166666669,1.5858669166666668
46.0,3.9788,-1.3002,1.569253777777778,1.5858669166666668
47.0,3.9779,-1.3002,1.5688926111111112,1.5858669166666668
48.0,3.9775,-1.3002,1.5685314444444445,1.5858669166666668
49.0,3.9765,-1.3002,1.568170277777778,1.5858669166666668
50.0,3.9758,-1.3002,1.5678091111111112,1.5858669166666668
51.0,3.9752,-1.3002,1.5674479444444445,1.5858669166666668
52.0,3.9747,-1.3002,1.567086777777778,1.5858669166666668
53.0,3.9737,-1.3002,1.5667256111111112,1.5858669166666668
54.0,3.9732,-1.3002,1.5663644444444447,1.5858669166666668
55.0,3.9726,-1.3002,1.566003277777778,1.5858669166666668
56.0,3.9719,-1.3001,1.5656421111111112,1.5858669166666668
57.0,3.9714,-1.3001,1.5652809722222223,1.5858669166666668
58.0,3.9707,-1.3002,1.5649198333333334,1.5858669166666668
59.0,3.9701,-1.3001,1.5645586666666669,1.5858669166666668
60.0,3.9694,-1.3002,1.564197527777778,1.5858669166666668
61.0,3.9688,-1.3002,1.5638363611111112,1.5858669166666668
62.0,3.9683,-1.3001,1.5634751944444445,1.5858669166666668
63.0,3.9677,-1.3002,1.5631140555555556,1.5858669166666668
64.0,3.967,-1.3002,1.562752888888889,1.5858669166666668
65.0,3.9668,-1.3002,1.5623917222222223,1.5858669166666668
66.0,3.9661,-1.3001,1.5620305555555556,1.5858669166666668
67.0,3.9654,-1.3002,1.5616694166666667,1.5858669166666668
68.0,3.9648,-1.3002,1.5613082500000002,1.5858669166666668
69.0,3.9645,-1.3002,1.5609470833333334,1.5858669166666668
70.0,3.9638,-1.3002,1.5605859166666667,1.5858669166666668
71.0,3.9634,-1.3002,1.5602247500000002,1.5858669166666668
72.0,3.9626,-1.3002,1.5598635833333334,1.5858669166666668
73.0,3.962,-1.3002,1.559502416666667,1.5858669166666668
74.0,3.9616,-1.3002,1.5591412500000001,1.5858669166666668
75.0,3.961,-1.3002,1.5587800833333334,1.5858669166666668
76.0,3.9602,-1.3002,1.5584189166666669,1.5858669166666668
77.0,3.9598,-1.3002,1.5580577500000001,1.5858669166666668
78.0,3.9592,-1.3002,1.5576965833333334,1.5858669166666668
79.0,3.9588,-1.3001,1.5573354166666669,1.5858669166666668
80.0,3.9581,-1.3002,1.556974277777778,1.5858669166666668
81.0,3.9579,-1.3002,1.5566131111111112,1.5858669166666668
82.0,3.9573,-1.3002,1.5562519444444445,1.5858669166666668
83.0,3.957,-1.3002,1.555890777777778,1.5858669166666668
84.0,3.9563,-1.3002,1.5555296111111112,1.5858669166666668
85.0,3.9557,-1.3002,1.5551684444444445,1.5858669166666668
86.0,3.9553,-1.3001,1.554807277777778,1.5858669166666668
87.0,3.9547,-1.3002,1.554446138888889,1.5858669166666668
88.0,3.9546,-1.3002,1.5540849722222223,1.5858669166666668
89.0,3.9538,-1.3001,1.5537238055555558,1.5858669166666668
90.0,3.9533,-1.3002,1.553362666666667,1.5858669166666668
91.0,3.9526,-1.3002,1.5530015000000001,1.5858669166666668
92.0,3.9522,-1.3002,1.5526403333333334,1.5858669166666668
93.0,3.9518,-1.3002,1.5522791666666669,1.5858669166666668
94.0,3.9514,-1.3002,1.5519180000000001,1.5858669166666668
95.0,3.9511,-1.3002,1.5515568333333334,1.5858669166666668
96.0,3.9505,-1.3002,1.5511956666666669,1.5858669166666668
97.0,3.95,-1.3002,1.5508345000000001,1.5858669166666668
98.0,3.9495,-1.3002,1.5504733333333334,1.5858669166666668
99.0,3.9491,-1.3002,1.5501121666666668,1.5858669166666668
100.0,3.9487,-1.3002,1.549751,1.5858669166666668
101.0,3.9479,-1.3002,1.5493898333333334,1.5858669166666668
102.0,3.9475,-1.3002,1.5490286666666668,1.5858669166666668
103.0,3.9472,-1.3002,1.5486675,1.5858669166666668
104.0,3.9466,-1.3002,1.5483063333333336,1.5858669166666668
105.0,3.9463,-1.3002,1.5479451666666668,1.5858669166666668
106.0,3.9457,-1.3002,1.547584,1.5858669166666668
107.0,3.9453,-1.3002,1.5472228333333335,1.5858669166666668
108.0,3.9448,-1.3002,1.5468616666666668,1.5858669166666668
109.0,3.9444,-1.3002,1.5465005,1.5858669166666668
110.0,3.9438,-1.3002,1.5461393333333335,1.5858669166666668
111.0,3.9437,-1.3002,1.5457781666666668,1.5858669166666668
112.0,3.9432,-1.3002,1.545417,1.5858669166666668
113.0,3.9426,-1.3002,1.5450558333333335,1.5858669166666668
114.0,3.9423,-1.3002,1.5446946666666668,1.5858669166666668
115.0,3.942,-1.3002,1.5443335,1.5858669166666668
116.0,3.9412,-1.3002,1.5439723333333335,1.5858669166666668
117.0,3.9411,-1.3002,1.5436111666666668,1.5858669166666668
118.0,3.9402,-1.3002,1.54325,1.5858669166666668
119.0,3.9402,-1.3002,1.5428888333333335,1.5858669166666668
120.0,3.9397,-1.3002,1.5425276666666667,1.5858669166666668
121.0,3.939,-1.3002,1.5421665000000002,1.5858669166666668
122.0,3.9389,-1.3002,1.5418053333333335,1.5858669166666668
123.0,3.9385,-1.3002,1.5414441666666667,1.5858669166666668
124.0,3.938,-1.3002,1.5410830000000002,1.5858669166666668
125.0,3.9376,-1.3002,1.5407218333333335,1.5858669166666668
126.0,3.9373,-1.3002,1.5403606666666667,1.5858669166666668
127.0,3.9368,-1.3002,1.5399995000000002,1.5858669166666668
128.0,3.9365,-1.3001,1.5396383333333334,1.5858669166666668
129.0,3.936,-1.3002,1.5392771944444446,1.5858669166666668
130.0,3.9355,-1.3002,1.5389160277777778,1.5858669166666668
131.0,3.9352,-1.3002,1.5385548611111113,1.5858669166666668
132.0,3.9349,-1.3002,1.5381936944444445,1.5858669166666668
133.0,3.9344,-1.3002,1.5378325277777778,1.5858669166666668
134.0,3.9339,-1.3002,1.5374713611111113,1.5858669166666668
135.0,3.9335,-1.3002,1.5371101944444445,1.5858669166666668
136.0,3.9332,-1.3002,1.536749027777778,1.5858669166666668
137.0,3.9326,-1.3002,1.5363878611111113,1.5858669166666668
138.0,3.9324,-1.3002,1.5360266944444445,1.5858669166666668
139.0,3.932,-1.3002,1.535665527777778,1.5858669166666668
140.0,3.9315,-1.3002,1.5353043611111112,1.5858669166666668
141.0,3.9314,-1.3002,1.5349431944444445,1.5858669166666668
142.0,3.9309,-1.3002,1.534582027777778,1.5858669166666668
143.0,3.9305,-1.3002,1.5342208611111112,1.5858669166666668
144.0,3.9302,-1.3002,1.5338596944444445,1.5858669166666668
