Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.1575,-1.3,1.536694888888889,1.536694888888889
1.0,4.0358,-1.3001,1.536333777777778,1.536694888888889
2.0,4.0318,-1.3002,1.535972638888889,1.536694888888889
3.0,4.0291,-1.3002,1.5356114722222223,1.536694888888889
4.0,4.0268,-1.3001,1.5352503055555555,1.536694888888889
5.0,4.0246,-1.3001,1.5348891666666666,1.536694888888889
6.0,4.0227,-1.3003,1.5345280277777777,1.536694888888889
7.0,4.0209,-1.3003,1.5341668333333334,1.536694888888889
8.0,4.0197,-1.3001,1.533805638888889,1.536694888888889
9.0,4.0177,-1.3003,1.5334445,1.536694888888889
10.0,4.0168,-1.3001,1.5330833055555557,1.536694888888889
11.0,4.0154,-1.3002,1.5327221666666668,1.536694888888889
12.0,4.0143,-1.3001,1.532361,1.536694888888889
13.0,4.0129,-1.3001,1.5319998611111112,1.536694888888889
14.0,4.0122,-1.3001,1.5316387222222223,1.536694888888889
15.0,4.0109,-1.3001,1.5312775833333334,1.536694888888889
16.0,4.0095,-1.3002,1.5309164444444445,1.536694888888889
17.0,4.0085,-1.3002,1.5305552777777778,1.536694888888889
18.0,4.0078,-1.3001,1.5301941111111113,1.536694888888889
19.0,4.0065,-1.3002,1.5298329722222224,1.536694888888889
20.0,4.0056,-1.3,1.5294718055555556,1.536694888888889
21.0,4.0048,-1.3,1.5291106944444446,1.536694888888889
22.0,4.0036,-1.3002,1.5287495833333333,1.536694888888889
23.0,4.0028,-1.3002,1.5283884166666668,1.536694888888889
24.0,4.002,-1.3002,1.52802725,1.536694888888889
25.0,4.0011,-1.3001,1.5276660833333333,1.536694888888889
26.0,4.0001,-1.3002,1.5273049444444444,1.536694888888889
27.0,3.9994,-1.3002,1.526943777777778,1.536694888888889
28.0,3.9985,-1.3001,1.5265826111111112,1.536694888888889
29.0,3.9976,-1.3002,1.5262214722222223,1.536694888888889
30.0,3.9967,-1.3,1.5258603055555555,1.536694888888889
31.0,3.9961,-1.3001,1.5254991944444445,1.536694888888889
32.0,3.9956,-1.3001,1.5251380555555556,1.536694888888889
33.0,3.9944,-1.3001,1.5247769166666667,1.536694888888889
34.0,3.9939,-1.3002,1.5244157777777778,1.536694888888889
35.0,3.9928,-1.3003,1.524054611111111,1.536694888888889
36.0,3.9924,-1.3,1.5236934166666667,1.536694888888889
37.0,3.9915,-1.3001,1.5233323055555557,1.536694888888889
38.0,3.9908,-1.3,1.5229711666666668,1.536694888888889
39.0,3.99,-1.3002,1.5226100555555555,1.536694888888889
40.0,3.9891,-1.3001,1.522248888888889,1.536694888888889
41.0,3.9886,-1.3,1.52188775,1.536694888888889
42.0,3.9877,-1.3003,1.5215266388888888,1.536694888888889
43.0,3.9869,-1.3003,1.5211654444444445,1.536694888888889
44.0,3.9864,-1.3002,1.52080425,1.536694888888889
45.0,3.9857,-1.3001,1.5204430833333333,1.536694888888889
46.0,3.9852,-1.3001,1.5200819444444444,1.536694888888889
47.0,3.9845,-1.3002,1.5197208055555556,1.536694888888889
48.0,3.9838,-1.3001,1.519359638888889,1.536694888888889
49.0,3.983,-1.3001,1.5189985000000001,1.536694888888889
50.0,3.9824,-1.3001,1.5186373611111113,1.536694888888889
51.0,3.9818,-1.3002,1.5182762222222224,1.536694888888889
52.0,3.9811,-1.3002,1.5179150555555556,1.536694888888889
53.0,3.9806,-1.3,1.5175538888888889,1.536694888888889
54.0,3.9801,-1.3002,1.5171927777777778,1.536694888888889
55.0,3.9791,-1.3003,1.516831611111111,1.536694888888889
56.0,3.9786,-1.3001,1.5164704166666667,1.536694888888889
57.0,3.978,-1.3002,1.5161092777777778,1.536694888888889
58.0,3.9772,-1.3002,1.515748111111111,1.536694888888889
59.0,3.9769,-1.3001,1.5153869444444446,1.536694888888889
60.0,3.9763,-1.3001,1.5150258055555557,1.536694888888889
61.0,3.9756,-1.3,1.5146646666666668,1.536694888888889
62.0,3.9752,-1.3001,1.5143035555555555,1.536694888888889
63.0,3.9743,-1.3002,1.5139424166666666,1.536694888888889
64.0,3.9739,-1.3001,1.51358125,1.536694888888889
65.0,3.9731,-1.3001,1.5132201111111112,1.536694888888889
66.0,3.9727,-1.3002,1.5128589722222223,1.536694888888889
67.0,3.972,-1.3001,1.5124978055555556,1.536694888888889
68.0,3.9715,-1.3,1.5121366666666667,1.536694888888889
69.0,3.9709,-1.3003,1.5117755555555557,1.536694888888889
70.0,3.9704,-1.3001,1.511414361111111,1.536694888888889
71.0,3.97,-1.3,1.5110532222222224,1.536694888888889
72.0,3.9692,-1.3001,1.5106921111111111,1.536694888888889
73.0,3.9688,-1.3001,1.5103309722222222,1.536694888888889
74.0,3.9684,-1.2999,1.5099698333333333,1.536694888888889
75.0,3.9676,-1.3001,1.50960875,1.536694888888889
76.0,3.9671,-1.3003,1.509247611111111,1.536694888888889
