Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0874,-1.3009,1.9371951111111105,1.9371951111111105
1.0,4.0585,-1.3003,1.9368337499999995,1.9371951111111105
2.0,4.0544,-1.3003,1.936472555555555,1.9371951111111105
3.0,4.0516,-1.3004,1.9361113611111105,1.9371951111111105
4.0,4.0492,-1.3004,1.9357501388888882,1.9371951111111105
5.0,4.0474,-1.3004,1.935388916666666,1.9371951111111105
6.0,4.0454,-1.3004,1.9350276944444438,1.9371951111111105
7.0,4.0436,-1.3004,1.9346664722222215,1.9371951111111105
8.0,4.0422,-1.3004,1.9343052499999995,1.9371951111111105
9.0,4.0405,-1.3003,1.9339440277777773,1.9371951111111105
10.0,4.039,-1.3003,1.9335828333333327,1.9371951111111105
11.0,4.0376,-1.3004,1.9332216388888883,1.9371951111111105
12.0,4.0365,-1.3004,1.932860416666666,1.9371951111111105
13.0,4.0351,-1.3003,1.9324991944444438,1.9371951111111105
14.0,4.034,-1.3005,1.9321379999999995,1.9371951111111105
15.0,4.0328,-1.3004,1.9317767499999994,1.9371951111111105
16.0,4.0316,-1.3004,1.9314155277777771,1.9371951111111105
17.0,4.0303,-1.3004,1.931054305555555,1.9371951111111105
18.0,4.0292,-1.3004,1.9306930833333327,1.9371951111111105
19.0,4.0282,-1.3004,1.9303318611111104,1.9371951111111105
20.0,4.0275,-1.3004,1.9299706388888884,1.9371951111111105
21.0,4.0264,-1.3004,1.9296094166666662,1.9371951111111105
22.0,4.0255,-1.3003,1.929248194444444,1.9371951111111105
23.0,4.0245,-1.3003,1.9288869999999994,1.9371951111111105
24.0,4.0234,-1.3003,1.928525805555555,1.9371951111111105
25.0,4.0229,-1.3003,1.9281646111111106,1.9371951111111105
26.0,4.0218,-1.3003,1.927803416666666,1.9371951111111105
27.0,4.021,-1.3004,1.9274422222222216,1.9371951111111105
28.0,4.0198,-1.3004,1.9270809999999994,1.9371951111111105
29.0,4.0195,-1.3003,1.9267197777777771,1.9371951111111105
30.0,4.0183,-1.3004,1.9263585833333328,1.9371951111111105
31.0,4.0176,-1.3004,1.9259973611111105,1.9371951111111105
32.0,4.0168,-1.3003,1.9256361388888883,1.9371951111111105
33.0,4.0161,-1.3004,1.925274944444444,1.9371951111111105
34.0,4.0152,-1.3004,1.9249137222222217,1.9371951111111105
35.0,4.0144,-1.3003,1.9245524999999994,1.9371951111111105
36.0,4.0138,-1.3003,1.924191305555555,1.9371951111111105
37.0,4.0129,-1.3004,1.9238301111111105,1.9371951111111105
38.0,4.012,-1.3003,1.9234688888888882,1.9371951111111105
39.0,4.0115,-1.3004,1.9231076944444438,1.9371951111111105
