Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0778,-1.3,1.8153209444444445,1.8153209444444445
1.0,4.046,-1.3,1.8149598333333334,1.8153209444444445
2.0,4.042,-1.2999,1.8145987222222222,1.8153209444444445
3.0,4.0393,-1.2999,1.814237638888889,1.8153209444444445
4.0,4.037,-1.2999,1.8138765555555556,1.8153209444444445
5.0,4.0353,-1.3,1.8135154722222222,1.8153209444444445
6.0,4.0334,-1.3,1.8131543611111112,1.8153209444444445
7.0,4.0318,-1.3,1.8127932500000001,1.8153209444444445
8.0,4.0304,-1.3001,1.8124321388888889,1.8153209444444445
9.0,4.0292,-1.3,1.812071,1.8153209444444445
10.0,4.0277,-1.3,1.811709888888889,1.8153209444444445
11.0,4.0268,-1.3,1.8113487777777777,1.8153209444444445
12.0,4.0254,-1.3,1.8109876666666667,1.8153209444444445
13.0,4.0244,-1.3,1.8106265555555556,1.8153209444444445
14.0,4.0231,-1.3,1.8102654444444444,1.8153209444444445
15.0,4.022,-1.3,1.8099043333333333,1.8153209444444445
16.0,4.0208,-1.3,1.8095432222222223,1.8153209444444445
17.0,4.0198,-1.3,1.809182111111111,1.8153209444444445
18.0,4.0188,-1.3,1.808821,1.8153209444444445
19.0,4.018,-1.2999,1.808459888888889,1.8153209444444445
20.0,4.0171,-1.2999,1.8080988055555556,1.8153209444444445
21.0,4.0158,-1.2999,1.8077377222222222,1.8153209444444445
22.0,4.0151,-1.3001,1.807376638888889,1.8153209444444445
23.0,4.0144,-1.2999,1.8070155,1.8153209444444445
24.0,4.0134,-1.3001,1.8066544166666667,1.8153209444444445
25.0,4.0126,-1.3,1.8062932777777778,1.8153209444444445
26.0,4.0121,-1.3,1.8059321666666668,1.8153209444444445
27.0,4.011,-1.3,1.8055710555555555,1.8153209444444445
28.0,4.01,-1.3,1.8052099444444445,1.8153209444444445
29.0,4.0095,-1.3,1.8048488333333335,1.8153209444444445
30.0,4.0086,-1.3,1.8044877222222222,1.8153209444444445
31.0,4.0079,-1.3,1.8041266111111112,1.8153209444444445
32.0,4.007,-1.2999,1.8037655000000001,1.8153209444444445
33.0,4.0061,-1.3,1.8034044166666667,1.8153209444444445
34.0,4.0059,-1.3,1.8030433055555555,1.8153209444444445
35.0,4.0048,-1.2999,1.8026821944444444,1.8153209444444445
36.0,4.004,-1.3,1.802321111111111,1.8153209444444445
37.0,4.0035,-1.3,1.80196,1.8153209444444445
38.0,4.0027,-1.3,1.801598888888889,1.8153209444444445
39.0,4.0019,-1.3,1.8012377777777777,1.8153209444444445
40.0,4.0014,-1.3,1.8008766666666667,1.8153209444444445
41.0,4.0008,-1.3,1.8005155555555556,1.8153209444444445
42.0,4.0001,-1.3,1.8001544444444444,1.8153209444444445
43.0,3.9995,-1.2999,1.7997933333333334,1.8153209444444445
44.0,3.9988,-1.3001,1.79943225,1.8153209444444445
45.0,3.9981,-1.3,1.799071111111111,1.8153209444444445
46.0,3.9973,-1.3001,1.79871,1.8153209444444445
47.0,3.9968,-1.2999,1.7983488611111111,1.8153209444444445
48.0,3.9961,-1.3,1.7979877777777777,1.8153209444444445
49.0,3.9954,-1.3001,1.7976266666666667,1.8153209444444445
50.0,3.9948,-1.3001,1.7972655277777778,1.8153209444444445
51.0,3.9943,-1.3,1.796904388888889,1.8153209444444445
52.0,3.9938,-1.3001,1.796543277777778,1.8153209444444445
53.0,3.9933,-1.3001,1.796182138888889,1.8153209444444445
54.0,3.9926,-1.3,1.7958210000000001,1.8153209444444445
55.0,3.992,-1.3,1.7954598888888889,1.8153209444444445
56.0,3.9912,-1.3,1.7950987777777778,1.8153209444444445
57.0,3.9908,-1.3001,1.7947376666666668,1.8153209444444445
58.0,3.9901,-1.3001,1.794376527777778,1.8153209444444445
59.0,3.9897,-1.3,1.794015388888889,1.8153209444444445
60.0,3.9892,-1.3,1.7936542777777778,1.8153209444444445
61.0,3.9885,-1.3,1.7932931666666667,1.8153209444444445
62.0,3.988,-1.3,1.7929320555555557,1.8153209444444445
63.0,3.9872,-1.3001,1.7925709444444444,1.8153209444444445
64.0,3.9868,-1.3,1.7922098055555555,1.8153209444444445
65.0,3.9863,-1.3,1.7918486944444445,1.8153209444444445
66.0,3.9858,-1.3001,1.7914875833333335,1.8153209444444445
67.0,3.9852,-1.3001,1.7911264444444446,1.8153209444444445
68.0,3.9847,-1.3,1.7907653055555557,1.8153209444444445
69.0,3.9843,-1.3,1.7904041944444444,1.8153209444444445
70.0,3.9837,-1.3,1.7900430833333334,1.8153209444444445
71.0,3.9832,-1.3001,1.7896819722222221,1.8153209444444445
72.0,3.9825,-1.3,1.7893208333333335,1.8153209444444445
