Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0788,-1.3001,2.0871829444444447,2.0871829444444447
1.0,4.0555,-1.2999,2.086821805555556,2.0871829444444447
2.0,4.0514,-1.2999,2.0864607222222227,2.0871829444444447
3.0,4.0485,-1.3,2.0860996388888893,2.0871829444444447
4.0,4.0463,-1.3,2.085738527777778,2.0871829444444447
5.0,4.0442,-1.2999,2.0853774166666668,2.0871829444444447
6.0,4.0424,-1.2999,2.085016333333334,2.0871829444444447
7.0,4.0408,-1.3,2.0846552500000004,2.0871829444444447
8.0,4.039,-1.3,2.084294138888889,2.0871829444444447
9.0,4.0377,-1.3,2.083933027777778,2.0871829444444447
10.0,4.0363,-1.2999,2.083571916666667,2.0871829444444447
11.0,4.035,-1.3,2.0832108333333337,2.0871829444444447
12.0,4.0334,-1.3,2.0828497222222224,2.0871829444444447
13.0,4.0323,-1.3,2.0824886111111116,2.0871829444444447
14.0,4.0313,-1.3,2.0821275000000004,2.0871829444444447
15.0,4.0304,-1.3,2.081766388888889,2.0871829444444447
16.0,4.0288,-1.3,2.0814052777777783,2.0871829444444447
17.0,4.028,-1.3,2.081044166666667,2.0871829444444447
18.0,4.0272,-1.2999,2.0806830555555558,2.0871829444444447
19.0,4.0259,-1.3,2.0803219722222224,2.0871829444444447
20.0,4.0249,-1.3,2.0799608611111116,2.0871829444444447
21.0,4.0241,-1.3,2.0795997500000003,2.0871829444444447
22.0,4.0232,-1.3,2.079238638888889,2.0871829444444447
23.0,4.0223,-1.3,2.0788775277777782,2.0871829444444447
24.0,4.0213,-1.2999,2.078516416666667,2.0871829444444447
25.0,4.0204,-1.3,2.0781553333333336,2.0871829444444447
26.0,4.0195,-1.3,2.0777942222222223,2.0871829444444447
27.0,4.0187,-1.3,2.0774331111111115,2.0871829444444447
28.0,4.018,-1.3,2.0770720000000003,2.0871829444444447
29.0,4.0168,-1.3,2.076710888888889,2.0871829444444447
30.0,4.0164,-1.3,2.076349777777778,2.0871829444444447
31.0,4.0156,-1.3,2.075988666666667,2.0871829444444447
32.0,4.0148,-1.3,2.0756275555555557,2.0871829444444447
33.0,4.0141,-1.3,2.075266444444445,2.0871829444444447
34.0,4.0133,-1.3,2.0749053333333336,2.0871829444444447
35.0,4.0126,-1.2999,2.0745442222222223,2.0871829444444447
36.0,4.0119,-1.2999,2.0741831388888894,2.0871829444444447
37.0,4.0114,-1.3,2.073822055555556,2.0871829444444447
38.0,4.0104,-1.2999,2.0734609444444447,2.0871829444444447
39.0,4.0098,-1.3,2.0730998611111113,2.0871829444444447
40.0,4.0093,-1.3,2.0727387500000005,2.0871829444444447
41.0,4.0084,-1.3,2.0723776388888893,2.0871829444444447
42.0,4.0077,-1.3,2.072016527777778,2.0871829444444447
43.0,4.007,-1.3,2.0716554166666667,2.0871829444444447
44.0,4.0065,-1.3,2.071294305555556,2.0871829444444447
45.0,4.0057,-1.3,2.0709331944444447,2.0871829444444447
46.0,4.0052,-1.3,2.0705720833333334,2.0871829444444447
47.0,4.0047,-1.2999,2.0702109722222226,2.0871829444444447
48.0,4.0039,-1.3,2.069849888888889,2.0871829444444447
49.0,4.0034,-1.3,2.069488777777778,2.0871829444444447
50.0,4.0026,-1.3,2.069127666666667,2.0871829444444447
51.0,4.0022,-1.3,2.068766555555556,2.0871829444444447
52.0,4.0015,-1.3,2.0684054444444446,2.0871829444444447
53.0,4.0008,-1.3,2.068044333333334,2.0871829444444447
54.0,4.0003,-1.3,2.0676832222222226,2.0871829444444447
55.0,3.9999,-1.3,2.0673221111111113,2.0871829444444447
56.0,3.9991,-1.3,2.0669610000000005,2.0871829444444447
57.0,3.9988,-1.3,2.0665998888888892,2.0871829444444447
58.0,3.998,-1.3,2.066238777777778,2.0871829444444447
59.0,3.9973,-1.3,2.065877666666667,2.0871829444444447
60.0,3.9971,-1.2999,2.065516555555556,2.0871829444444447
61.0,3.9963,-1.3,2.0651554722222225,2.0871829444444447
62.0,3.9959,-1.3,2.0647943611111113,2.0871829444444447
63.0,3.9955,-1.3,2.0644332500000004,2.0871829444444447
64.0,3.9947,-1.3,2.064072138888889,2.0871829444444447
65.0,3.9941,-1.3,2.063711027777778,2.0871829444444447
66.0,3.9935,-1.3,2.063349916666667,2.0871829444444447
67.0,3.9934,-1.3,2.062988805555556,2.0871829444444447
68.0,3.9929,-1.3,2.0626276944444446,2.0871829444444447
69.0,3.992,-1.3,2.062266583333334,2.0871829444444447
70.0,3.9916,-1.3,2.0619054722222225,2.0871829444444447
71.0,3.9911,-1.3,2.0615443611111113,2.0871829444444447
72.0,3.9906,-1.3,2.0611832500000005,2.0871829444444447
73.0,3.9901,-1.3,2.060822138888889,2.0871829444444447
74.0,3.9896,-1.3,2.060461027777778,2.0871829444444447
75.0,3.9891,-1.3,2.060099916666667,2.0871829444444447
76.0,3.9888,-1.3,2.059738805555556,2.0871829444444447
77.0,3.9881,-1.2999,2.0593776944444446,2.0871829444444447
78.0,3.9878,-1.3,2.0590166111111112,2.0871829444444447
79.0,3.9875,-1.3,2.0586555000000004,2.0871829444444447
80.0,3.9869,-1.3,2.058294388888889,2.0871829444444447
81.0,3.9863,-1.3,2.057933277777778,2.0871829444444447
82.0,3.986,-1.3,2.057572166666667,2.0871829444444447
83.0,3.9855,-1.3,2.057211055555556,2.0871829444444447
84.0,3.9851,-1.3,2.0568499444444446,2.0871829444444447
85.0,3.9845,-1.3,2.0564888333333338,2.0871829444444447
86.0,3.9841,-1.3,2.0561277222222225,2.0871829444444447
87.0,3.9836,-1.3,2.0557666111111113,2.0871829444444447
88.0,3.9832,-1.2999,2.0554055000000004,2.0871829444444447
89.0,3.9829,-1.3,2.055044416666667,2.0871829444444447
90.0,3.9824,-1.3,2.054683305555556,2.0871829444444447
91.0,3.9817,-1.3,2.0543221944444445,2.0871829444444447
92.0,3.9815,-1.3,2.0539610833333337,2.0871829444444447
93.0,3.9811,-1.3,2.0535999722222225,2.0871829444444447
94.0,3.9806,-1.3,2.053238861111111,2.0871829444444447
95.0,3.9802,-1.3,2.0528777500000004,2.0871829444444447
96.0,3.9798,-1.3,2.052516638888889,2.0871829444444447
97.0,3.9794,-1.3,2.052155527777778,2.0871829444444447
98.0,3.979,-1.3,2.051794416666667,2.0871829444444447
99.0,3.9787,-1.3,2.051433305555556,2.0871829444444447
100.0,3.9783,-1.3,2.0510721944444446,2.0871829444444447
101.0,3.9777,-1.3,2.0507110833333337,2.0871829444444447
102.0,3.9774,-1.3,2.0503499722222225,2.0871829444444447
103.0,3.977,-1.3,2.0499888611111112,2.0871829444444447
104.0,3.9766,-1.3,2.0496277500000004,2.0871829444444447
105.0,3.9763,-1.3,2.049266638888889,2.0871829444444447
106.0,3.9759,-1.2999,2.048905527777778,2.0871829444444447
107.0,3.9753,-1.3,2.048544444444445,2.0871829444444447
108.0,3.9751,-1.3,2.0481833333333337,2.0871829444444447
109.0,3.9747,-1.2999,2.0478222222222224,2.0871829444444447
110.0,3.9744,-1.2999,2.047461138888889,2.0871829444444447
111.0,3.9739,-1.3,2.047100055555556,2.0871829444444447
112.0,3.9736,-1.3,2.046738944444445,2.0871829444444447
113.0,3.973,-1.3,2.0463778333333336,2.0871829444444447
114.0,3.9729,-1.3,2.0460167222222223,2.0871829444444447
115.0,3.9727,-1.3,2.0456556111111115,2.0871829444444447
116.0,3.9722,-1.3,2.0452945000000002,2.0871829444444447
117.0,3.9719,-1.2999,2.044933388888889,2.0871829444444447
118.0,3.9714,-1.2999,2.044572305555556,2.0871829444444447
119.0,3.971,-1.3,2.0442112222222226,2.0871829444444447
120.0,3.9705,-1.3,2.0438501111111114,2.0871829444444447
