Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0607,-1.3,1.4225087222222226,1.4225087222222226
1.0,4.019,-1.3001,1.4221476111111115,1.4225087222222226
2.0,4.014,-1.3001,1.4217864722222227,1.4225087222222226
3.0,4.0107,-1.3001,1.4214253333333338,1.4225087222222226
4.0,4.0078,-1.2999,1.4210641944444449,1.4225087222222226
5.0,4.0057,-1.3001,1.4207031111111115,1.4225087222222226
6.0,4.0033,-1.3001,1.4203419722222226,1.4225087222222226
7.0,4.0013,-1.3,1.4199808333333337,1.4225087222222226
8.0,3.9992,-1.3001,1.4196197222222227,1.4225087222222226
9.0,3.9977,-1.3,1.4192585833333338,1.4225087222222226
10.0,3.9961,-1.3001,1.4188974722222225,1.4225087222222226
11.0,3.9945,-1.3,1.4185363333333336,1.4225087222222226
12.0,3.9932,-1.3002,1.4181752222222226,1.4225087222222226
13.0,3.9918,-1.3002,1.4178140555555558,1.4225087222222226
14.0,3.9903,-1.3001,1.4174528888888893,1.4225087222222226
15.0,3.9891,-1.3001,1.4170917500000004,1.4225087222222226
16.0,3.9878,-1.3002,1.4167306111111115,1.4225087222222226
17.0,3.9866,-1.3001,1.4163694444444448,1.4225087222222226
18.0,3.9854,-1.3,1.416008305555556,1.4225087222222226
19.0,3.9844,-1.3,1.4156471944444449,1.4225087222222226
20.0,3.9831,-1.3003,1.4152860833333336,1.4225087222222226
21.0,3.9822,-1.2999,1.4149248888888892,1.4225087222222226
22.0,3.981,-1.3001,1.4145638055555558,1.4225087222222226
23.0,3.98,-1.3,1.414202666666667,1.4225087222222226
24.0,3.979,-1.3003,1.413841555555556,1.4225087222222226
25.0,3.978,-1.3,1.4134803611111115,1.4225087222222226
26.0,3.9773,-1.3001,1.4131192500000003,1.4225087222222226
27.0,3.9759,-1.3,1.4127581111111114,1.4225087222222226
28.0,3.9753,-1.3001,1.4123970000000003,1.4225087222222226
29.0,3.9744,-1.3,1.4120358611111115,1.4225087222222226
30.0,3.9732,-1.3,1.4116747500000004,1.4225087222222226
31.0,3.9723,-1.3001,1.4113136388888892,1.4225087222222226
32.0,3.9715,-1.3001,1.4109525000000003,1.4225087222222226
33.0,3.9707,-1.3001,1.4105913611111114,1.4225087222222226
34.0,3.9695,-1.3001,1.4102302222222225,1.4225087222222226
35.0,3.9692,-1.3001,1.4098690833333336,1.4225087222222226
36.0,3.9682,-1.3,1.4095079444444447,1.4225087222222226
37.0,3.9675,-1.3002,1.4091468333333337,1.4225087222222226
38.0,3.9665,-1.3,1.408785666666667,1.4225087222222226
39.0,3.9658,-1.2999,1.408424555555556,1.4225087222222226
40.0,3.965,-1.3001,1.4080634722222225,1.4225087222222226
41.0,3.9642,-1.3002,1.4077023333333336,1.4225087222222226
42.0,3.9632,-1.3002,1.407341166666667,1.4225087222222226
43.0,3.9625,-1.3001,1.4069800000000003,1.4225087222222226
44.0,3.9618,-1.3001,1.4066188611111115,1.4225087222222226
45.0,3.9611,-1.3,1.4062577222222226,1.4225087222222226
46.0,3.9603,-1.3001,1.4058966111111115,1.4225087222222226
47.0,3.9596,-1.3,1.4055354722222226,1.4225087222222226
48.0,3.9589,-1.3,1.4051743611111114,1.4225087222222226
49.0,3.9583,-1.3002,1.4048132500000003,1.4225087222222226
50.0,3.9577,-1.3001,1.4044520833333336,1.4225087222222226
51.0,3.9567,-1.3001,1.4040909444444447,1.4225087222222226
52.0,3.9561,-1.3001,1.4037298055555558,1.4225087222222226
53.0,3.9553,-1.3,1.403368666666667,1.4225087222222226
54.0,3.9546,-1.3001,1.403007555555556,1.4225087222222226
55.0,3.954,-1.3001,1.402646416666667,1.4225087222222226
56.0,3.9532,-1.3001,1.4022852777777781,1.4225087222222226
57.0,3.9524,-1.3,1.4019241388888892,1.4225087222222226
58.0,3.9519,-1.3,1.4015630277777782,1.4225087222222226
59.0,3.9511,-1.3002,1.401201916666667,1.4225087222222226
60.0,3.9505,-1.3,1.4008407500000004,1.4225087222222226
61.0,3.9498,-1.3,1.4004796388888892,1.4225087222222226
62.0,3.9492,-1.3002,1.4001185277777781,1.4225087222222226
63.0,3.9486,-1.3003,1.3997573611111114,1.4225087222222226
